id_persona_carico,cod_fiscale,fk_ruolo,num_mesi_appartenenza,num_percentuale_appartenenza,flg_minore_3_anni,flg_a_carico,flg_null_mesi,flg_null_appartenenza,flg_appartenenza_c
9800030,RSSGNN05T10B403O,,0,0,,0,1,1,
9800033,CNTLRA03L70G224C,,6,100,,1,0,0,0
9800034,FRRSFN19M03C890Y,,6,100,,1,0,0,0
9800035,RZZFNC07M41D680F,,6,100,,1,0,0,0
9800036,FNTSFN03M19I375K,,6,50,,1,0,0,0
9800037,GLLVNT02C48B546F,,6,100,,1,0,0,0
9800038,CSTSFN06D11H356W,,0,0,,0,1,1,
9800039,CNTFRC16E63D317C,,12,50,,1,0,0,0
9800040,MRTGNN09L23H131N,,12,100,,1,0,0,0
9800041,GRCMTN20P42E071D,,6,50,1,1,0,0,0
9800042,FNTNCL15L10L700U,,12,100,,1,0,0,0
9800045,CNTFNC17S69E588A,,12,100,,1,0,0,0
9800046,RZZGRL07E14A471H,,0,0,,0,1,1,
9800047,MRTVNT10L42M032L,,6,50,,1,0,0,0
9800048,RMNSMN19R30G776E,,12,50,,1,0,0,0
9800049,LMBFRC17E70I563V,,12,100,,1,0,0,0
9800051,MRNDVD09P22I347A,,12,100,,1,0,0,0
9800052,CNTNNA09C66D330S,,12,100,,1,0,0,0
9800053,FNTLSN22P04F922O,,0,0,1,0,1,1,
9800054,BNCMTN99A41I120U,,12,100,,1,0,0,0
9800055,RMNSMN08R05I414S,,6,50,,1,0,0,0
9800056,LMBMTN99L52L248S,,12,50,,1,0,0,0
9800057,FRRPLA19P13I531L,,12,100,,1,0,0,0
9800058,MRNFRC13P60A982Y,,6,50,,1,0,0,0
9800059,RMNNCL01E08F696Z,,0,0,,0,1,1,
9800060,BNCVNT10T49D156L,,12,100,,1,0,0,0
9800061,BNCSFN00H08C577A,,6,50,,1,0,0,0
9800063,RZZNNA05L41E240F,,12,100,,1,0,0,0
9800065,LMBGRL20R09C037G,,12,100,1,1,0,0,0
9800066,BNCGLI15T42F464S,,6,50,,1,0,0,0
9800067,MRNNDR21L24G823C,,0,0,1,0,1,1,
9800068,FRRNNA12B47H620B,,12,100,,1,0,0,0
9800069,GLLMTT03L30H783A,,6,100,,1,0,0,0
9800070,RMNCHR00T57E171C,,12,50,,1,0,0,0
9800071,FRRLSN19C06L497U,,12,50,,1,0,0,0
9800072,MRNFRC16T70F394K,,12,100,,1,0,0,0
9800073,BRBGRL20B07E689L,,0,0,,0,1,1,
9800074,MRNSFO09R43A637V,,6,50,,1,0,0,0
9800075,RZZNCL11L17G926J,,12,100,,1,0,0,0
9800076,MRTFRC06C62D568W,,6,50,,1,0,0,0
9800077,BNCGNN00D12E970F,,12,100,,1,0,0,0
9800078,RSSFNC05P54E465M,,12,50,,1,0,0,0
9800079,FNTDVD18L20M300G,,0,0,,0,1,1,
9800082,RMNNNA13H55C987H,,6,50,,1,0,0,0
9800083,CSTMRC05L28H361H,,6,50,,1,0,0,0
9800085,GRCFNC22D44E184R,,6,50,1,1,0,0,0
9800087,FNTLSN04T30D578B,,12,100,,1,0,0,0
9800088,RMNVNT11C58G782V,,12,100,,1,0,0,0
9800089,GRCSFN05C14I003G,,0,0,,0,1,1,
9800090,SPSSFO06H41A795L,,6,100,,1,0,0,0
9800091,GRCMTT14E29I221C,,6,100,,1,0,0,0
9800094,LMBMTN06P41B304O,,6,100,,1,0,0,0
9800095,BNCNCL08M29F770K,,12,50,,1,0,0,0
9800096,LMBVNT20C70C735O,,6,50,,1,0,0,0
9800097,BRNNCL00P20F789D,,0,0,,0,1,1,
9800098,GLLNNA05S46E349T,,12,50,,1,0,0,0
9800101,RSSSMN19B18C073P,,12,100,,1,0,0,0
9800102,CNTGLI21E67C964M,,6,100,1,1,0,0,0
9800103,FNTPLA15M20A161U,,6,100,,1,0,0,0
9800104,RMNMTN16D60A540E,,12,100,,1,0,0,0
9800105,CSTNDR01A16B678Z,,0,0,,0,1,1,
9800106,GRCGLI07C41E622S,,6,100,,1,0,0,0
9800107,RSSNDR05M23I876O,,12,100,,1,0,0,0
9800108,MRNSRA00E59E429R,,6,50,,1,0,0,0
9800109,LMBSMN15L03L723X,,6,50,,1,0,0,0
9800110,RZZCHR02H63G406O,,12,100,,1,0,0,0
9800111,GLLMTT07B25C919G,,0,0,,0,1,1,
9800112,LMBLNE19A55C650O,,12,100,,1,0,0,0
9800113,SPSSFN18C18L156C,,6,50,,1,0,0,0
9800114,BRNSFO09L55I063F,,12,50,,1,0,0,0
9800115,LMBNDR07T09C920W,,12,50,,1,0,0,0
9800116,CSTNNA09M70H897M,,6,100,,1,0,0,0
9800117,FRRMRC02A14A443N,,0,0,,0,1,1,
9800118,MRNFNC10L43C714X,,6,50,,1,0,0,0
9800119,CSTNDR20R08L414E,,6,100,1,1,0,0,0
9800120,LMBGLI10M53D415M,,12,50,,1,0,0,0
9800121,GRCGRL00E25G673U,,12,50,,1,0,0,0
9800122,BRBSFO03R41M103A,,6,50,,1,0,0,0
9800123,RSSLSN01D03G802F,,0,0,,0,1,1,
9800124,FNTFNC11M69F515A,,6,100,,1,0,0,0
9800125,MRTMRC20L20E592P,,6,100,1,1,0,0,0
9800127,BNCFNC18B64L287W,,12,100,,1,0,0,0
9800128,CNTGNN08A16C713O,,6,100,,1,0,0,0
9800129,RZZCHR98D64A137Z,,6,100,,1,0,0,0
9800130,BNCLCU19R28B061Z,,0,0,,0,1,1,
9800131,GLLFRC06L41G914R,,12,50,,1,0,0,0
9800132,BNCLSN07R22H594Z,,12,50,,1,0,0,0
9800133,LMBSRA13C47G957D,,6,100,,1,0,0,0
9800134,RMNLSN15D21B433I,,6,100,,1,0,0,0
9800135,GRCFNC11L48E215H,,6,100,,1,0,0,0
9800136,FRRSFN10R03I259A,,0,0,,0,1,1,
9800137,RZZFNC09T64L947K,,6,100,,1,0,0,0
9800138,CNTSFN06D23I578N,,6,50,,1,0,0,0
9800139,FRRFNC16R61F130L,,6,50,,1,0,0,0
9800140,CNTMTT09S04I953R,,12,50,,1,0,0,0
9800141,BRBSFO00A51A236F,,6,100,,1,0,0,0
9800142,RMNSFN16E28G461T,,0,0,,0,1,1,
9800143,BRNVNT15A71D897Q,,12,100,,1,0,0,0
9800145,BNCNCL99C01L892A,,12,50,,1,0,0,0
9800146,SPSSRA06L51E893R,,12,50,,1,0,0,0
9800147,CSTLSN19R02L736O,,12,50,,1,0,0,0
9800148,MRNNNA17C61L270L,,6,100,,1,0,0,0
9800149,GRCSFN21E22C950F,,0,0,1,0,1,1,
9800150,LMBSRA00C56D496N,,6,50,,1,0,0,0
9800151,FRRMRC14M20C057U,,6,100,,1,0,0,0
9800152,RMNLRA14A46G323W,,6,50,,1,0,0,0
9800153,RZZGNN11C12D419D,,12,100,,1,0,0,0
9800154,RMNSRA18P70H220O,,6,50,,1,0,0,0
9800155,BRNNCL03C07H916Y,,0,0,,0,1,1,
9800157,FRRSRA06A54E092X,,12,50,,1,0,0,0
9800158,GLLSFN17B17H843T,,6,50,,1,0,0,0
9800159,GRCCHR98A66F529T,,12,50,,1,0,0,0
9800160,MRNLCU98T24A459H,,6,50,,1,0,0,0
9800162,CSTLNE00C64B848X,,6,100,,1,0,0,0
9800163,BNCGNN05A19E761J,,0,0,,0,1,1,
9800164,RMNFRC19P44A093B,,6,50,,1,0,0,0
9800165,CSTSFN11C24I938M,,6,50,,1,0,0,0
9800166,GRCFRC08H50M145F,,6,100,,1,0,0,0
9800168,SPSDVD03B17A714P,,12,100,,1,0,0,0
9800169,BNCCHR08D43E512Q,,12,100,,1,0,0,0
9800170,SPSMTT06B10B152C,,0,0,,0,1,1,
9800171,MRTLNE04M57F443R,,12,50,,1,0,0,0
9800172,GLLLSN11D23C580Y,,12,50,,1,0,0,0
9800173,MRTNNA14T45D679E,,6,50,,1,0,0,0
9800174,FRRGNN08R15A458D,,12,100,,1,0,0,0
9800175,BNCNNA08P49F013K,,12,100,,1,0,0,0
9800176,CSTMTT19C31B531R,,0,0,,0,1,1,
9800177,MRTFNC10P53G933G,,6,50,,1,0,0,0
9800179,MRNMTT21M07L402J,,6,100,1,1,0,0,0
9800180,RZZGLI16C70F872V,,6,50,,1,0,0,0
9800181,FRRPLA17E08A964B,,6,50,,1,0,0,0
9800182,MRNCHR11S52H714L,,6,50,,1,0,0,0
9800183,FRRNCL13E28D957H,,0,0,,0,1,1,
9800184,BRNLNE09S42H944F,,12,100,,1,0,0,0
9800185,MRNMRC11L02C461G,,6,100,,1,0,0,0
9800186,BRNFNC15M51L890B,,12,100,,1,0,0,0
9800187,RMNSFN09L03F957G,,6,100,,1,0,0,0
9800188,BRBLNE09M69I783P,,6,50,,1,0,0,0
9800189,CSTLSN98S09B375B,,0,0,,0,1,1,
9800190,LMBSFO12S49F465E,,6,50,,1,0,0,0
9800191,RMNMTT98T31D505C,,6,100,,1,0,0,0
9800192,RSSMTN17E62G836P,,12,100,,1,0,0,0
9800194,MRNMRC04D04L900L,,12,50,,1,0,0,0
9800195,GRCLNE05S43B069H,,12,100,,1,0,0,0
9800196,MRTNCL10B04I382D,,0,0,,0,1,1,
9800197,RZZNNA15E63L967L,,6,50,,1,0,0,0
9800198,MRNNCL14A19G850D,,12,100,,1,0,0,0
9800199,LMBSRA99D65H689N,,6,100,,1,0,0,0
9800200,FRRLCU04H20C122B,,6,100,,1,0,0,0
9800201,FNTMRT12H48E226R,,6,50,,1,0,0,0
9800202,LMBLCU09R16B161G,,0,0,,0,1,1,
9800203,BRNMTN07R60E284L,,6,50,,1,0,0,0
9800205,RSSGRL08D21H655I,,12,50,,1,0,0,0
9800208,GLLNNA13S46F810W,,12,100,,1,0,0,0
9800209,BNCSMN09A30A083X,,6,100,,1,0,0,0
9800210,BRNCHR05P56D105F,,6,50,,1,0,0,0
9800211,GLLGRL15C23H512F,,0,0,,0,1,1,
9800212,MRNNNA04R66G981V,,6,50,,1,0,0,0
9800213,RZZGRL13C06D577E,,12,100,,1,0,0,0
9800215,LMBCHR05T63B441A,,12,100,,1,0,0,0
9800216,RMNPLA02T13F904T,,6,100,,1,0,0,0
9800217,GRCMTN06T57C422F,,12,50,,1,0,0,0
9800218,CNTNDR12S10H610H,,0,0,,0,1,1,
9800219,GRCMRT02H61D818M,,6,100,,1,0,0,0
9800220,BRBNCL98M23H280J,,6,50,,1,0,0,0
9800222,MRNMTN11S48F148A,,12,100,,1,0,0,0
9800223,GRCMTT12D20L869W,,12,100,,1,0,0,0
9800224,CSTSFO00D70G080S,,6,50,,1,0,0,0
9800225,GRCNDR98L19C412V,,0,0,,0,1,1,
9800226,CNTMRT05R57F009S,,6,50,,1,0,0,0
9800227,BNCSFN11A31L949F,,12,100,,1,0,0,0
9800228,BRBSFO10B44A220O,,6,100,,1,0,0,0
9800229,GRCLCU11M23D717C,,12,100,,1,0,0,0
9800231,GRCGLI06B50A757W,,6,50,,1,0,0,0
9800233,BRNLCU07A31G645F,,0,0,,0,1,1,
9800234,MRNFNC20D48M178V,,12,100,1,1,0,0,0
9800236,CNTLCU06A08M118U,,6,100,,1,0,0,0
9800237,LMBFNC21B46C897P,,6,50,1,1,0,0,0
9800238,GLLNCL05L07I418Z,,12,50,,1,0,0,0
9800239,GLLLNE07T46B554H,,12,50,,1,0,0,0
9800240,FNTSFN98P05H522O,,0,0,,0,1,1,
9800241,GLLMTN00A63L364E,,6,50,,1,0,0,0
9800242,SPSGRL20D27I592V,,12,100,1,1,0,0,0
9800243,RSSFNC99H55B574Q,,12,50,,1,0,0,0
9800244,MRNGRL13B25L297I,,12,100,,1,0,0,0
9800245,RMNMTN16R43L554B,,6,50,,1,0,0,0
9800246,LMBMRC06A31D470M,,0,0,,0,1,1,
9800247,CSTCHR03D57D379J,,6,50,,1,0,0,0
9800248,FRRLSN09C30H327P,,12,100,,1,0,0,0
9800249,RZZVNT08D45C630J,,6,50,,1,0,0,0
9800250,RZZGNN03A28G560X,,6,100,,1,0,0,0
9800251,RZZLRA05T52I392T,,6,50,,1,0,0,0
9800252,BNCGNN17M02L157V,,0,0,,0,1,1,
9800253,SPSFNC18A54F662R,,6,50,,1,0,0,0
9800254,GLLPLA22P27D107H,,12,50,1,1,0,0,0
9800255,RSSMRT11D48B662O,,6,50,,1,0,0,0
9800256,BRBSMN05C07L026P,,12,50,,1,0,0,0
9800257,FRRSFO02P55C500N,,12,50,,1,0,0,0
9800258,CNTNDR09E24F829W,,0,0,,0,1,1,
9800259,RSSMTN98C44I008R,,12,100,,1,0,0,0
9800260,RSSGRL04R27I117B,,6,100,,1,0,0,0
9800261,MRNGLI10R70A501C,,6,50,,1,0,0,0
9800262,FRRLCU10S30A650B,,6,100,,1,0,0,0
9800263,RSSLRA16R44M170C,,6,100,,1,0,0,0
9800264,FRRGRL14A27E490B,,0,0,,0,1,1,
9800266,GLLFRC19R51L584C,,6,100,,1,0,0,0
9800267,RSSSMN15H05L840Y,,12,50,,1,0,0,0
9800268,GRCVNT21L42I040E,,6,50,1,1,0,0,0
9800269,BNCGNN19C11L706D,,12,50,,1,0,0,0
9800271,GLLGLI19H58L781E,,12,50,,1,0,0,0
9800272,RSSMTT00B29C078R,,0,0,,0,1,1,
9800273,FRRNNA08A44I866M,,6,50,,1,0,0,0
9800274,BRBDVD03H23D030O,,6,100,,1,0,0,0
9800275,MRTFNC04D59E684E,,12,50,,1,0,0,0
9800277,BRBNCL01E30I594Q,,12,50,,1,0,0,0
9800278,BNCNNA10S62F218S,,6,100,,1,0,0,0
9800279,FNTNDR17E23I927V,,0,0,,0,1,1,
9800280,LMBMTN10P43B402W,,6,50,,1,0,0,0
9800281,BNCSFN21P09C815H,,6,50,1,1,0,0,0
9800282,RMNSRA01D48D040A,,6,50,,1,0,0,0
9800283,BNCGRL03L17A296B,,12,100,,1,0,0,0
9800284,MRNSRA19R59B744Y,,12,100,,1,0,0,0
9800285,BNCSMN08M03E358K,,0,0,,0,1,1,
9800286,RMNCHR08P45M189C,,12,50,,1,0,0,0
9800287,RMNDVD19A15B070V,,6,100,,1,0,0,0
9800288,FRRFNC15A47F269Y,,12,50,,1,0,0,0
9800290,MRNLCU12E26G963K,,6,50,,1,0,0,0
9800291,RMNLNE03R55D942V,,6,100,,1,0,0,0
9800293,FNTPLA15R03B835T,,0,0,,0,1,1,
9800294,RZZSFO99R53F229F,,6,50,,1,0,0,0
9800295,CNTSFN04H25L710C,,12,100,,1,0,0,0
9800296,CSTNNA05T63D740M,,12,100,,1,0,0,0
9800297,FRRMRC14B03I673U,,6,50,,1,0,0,0
9800298,GRCSFO21A57I088E,,6,100,1,1,0,0,0
9800299,CNTDVD17H14A266O,,0,0,,0,1,1,
9800300,SPSGLI13P44H134V,,12,100,,1,0,0,0
9800301,LMBGNN15B04L985D,,12,100,,1,0,0,0
9800302,RZZMTN18M52A954S,,6,50,,1,0,0,0
9800303,BRNMTT18S07C388U,,12,100,,1,0,0,0
9800304,BRNCHR04D41I292Z,,12,50,,1,0,0,0
9800306,MRNLSN99R28C614K,,0,0,,0,1,1,
9800307,MRNLRA20H69D879S,,6,50,,1,0,0,0
9800308,MRTPLA13L13A568E,,12,50,,1,0,0,0
9800309,BRNNNA16A71F999F,,6,50,,1,0,0,0
9800310,SPSSFN18A05C848E,,12,50,,1,0,0,0
9800311,BNCFNC13M41E146T,,6,100,,1,0,0,0
9800312,RZZGRL03L07I103L,,0,0,,0,1,1,
9800313,MRNFNC02D46A465M,,6,50,,1,0,0,0
9800314,LMBNDR12A29G693T,,6,100,,1,0,0,0
9800315,RMNLNE09B66H608B,,6,100,,1,0,0,0
9800316,RSSGNN21S01D915U,,6,50,1,1,0,0,0
9800317,GRCSFO17P56H523D,,12,100,,1,0,0,0
9800318,MRTLSN05D21E940A,,0,0,,0,1,1,
9800319,FNTVNT03R68L899X,,12,100,,1,0,0,0
9800320,BRBPLA09A05L349I,,6,100,,1,0,0,0
9800321,RMNCHR01H60D325P,,6,50,,1,0,0,0
9800322,FRRGNN13T26G525U,,6,100,,1,0,0,0
9800323,CNTCHR15T54H924H,,12,100,,1,0,0,0
9800324,MRTLSN16C26A539X,,0,0,,0,1,1,
9800325,RZZNNA21P67L912Z,,6,100,1,1,0,0,0
9800327,CSTLSN11C28L100T,,12,50,,1,0,0,0
9800328,RZZCHR16T70C638R,,12,100,,1,0,0,0
9800329,LMBPLA19H03B563Y,,6,50,,1,0,0,0
9800330,FNTSRA05D48G945G,,12,50,,1,0,0,0
9800332,FNTMTT12B22D854T,,0,0,,0,1,1,
9800333,RMNCHR07S69F161A,,12,100,,1,0,0,0
9800334,FRRMRC02L31B795Q,,12,50,,1,0,0,0
9800335,FRRSFO08H52G297G,,6,100,,1,0,0,0
9800336,RMNGNN02D14L856H,,12,50,,1,0,0,0
9800337,RZZSRA10H49C498Y,,12,50,,1,0,0,0
9800338,MRNSFN98R18D136I,,0,0,,0,1,1,
9800339,RSSCHR11M59I353P,,12,100,,1,0,0,0
9800343,FNTPLA08P04G846K,,12,100,,1,0,0,0
9800344,GRCSRA19L44D654A,,12,100,,1,0,0,0
9800345,RZZSFN02L17I275K,,12,100,,1,0,0,0
9800346,LMBGLI06H62A302C,,12,100,,1,0,0,0
9800347,MRNMTT07T07A906T,,0,0,,0,1,1,
9800348,RSSMTN20T64I850G,,6,50,1,1,0,0,0
9800349,FNTSFN10L05L407E,,12,50,,1,0,0,0
9800350,SPSNNA14L47G169V,,12,50,,1,0,0,0
9800353,MRNNCL07E10A001E,,12,50,,1,0,0,0
9800354,GLLCHR15S48D750E,,12,100,,1,0,0,0
9800355,RSSDVD14S08A467H,,0,0,,0,1,1,
9800357,GRCSFO09P42D741H,,6,100,,1,0,0,0
9800359,RMNMRC07C15I105X,,12,100,,1,0,0,0
9800360,SPSGLI18R41L934F,,12,50,,1,0,0,0
9800361,MRTSMN14C18B432V,,6,50,,1,0,0,0
9800363,GRCVNT14E55H706W,,6,100,,1,0,0,0
9800364,MRTLCU11A14A377T,,0,0,,0,1,1,
9800365,FNTMTN12D54G534G,,12,50,,1,0,0,0
9800366,RMNGRL00M05C225W,,12,50,,1,0,0,0
9800367,CNTGLI11P64G229Y,,6,50,,1,0,0,0
9800368,CNTGRL15E27H540F,,12,100,,1,0,0,0
9800369,RZZLRA11A69D420O,,12,50,,1,0,0,0
9800370,BRBMRC21R31H238Y,,0,0,1,0,1,1,
9800371,MRNSFO20E62E373T,,12,50,1,1,0,0,0
9800372,BRNMRC10P21F095F,,12,100,,1,0,0,0
9800373,GRCFNC22M59D193W,,6,50,1,1,0,0,0
9800374,GRCLSN20M08M163Y,,6,100,1,1,0,0,0
9800375,CNTNNA19H47C943P,,12,100,,1,0,0,0
9800376,RSSSMN18B11D776U,,0,0,,0,1,1,
9800377,CNTMTN15A65H829D,,12,100,,1,0,0,0
9800379,CNTNDR01M31F486V,,6,50,,1,0,0,0
9800380,GLLLNE12R46C824G,,12,50,,1,0,0,0
9800381,BRBDVD03T24L396C,,12,100,,1,0,0,0
9800382,BNCGLI09T55B564C,,12,50,,1,0,0,0
9800383,BRNMRC17A30F918U,,0,0,,0,1,1,
9800384,BRNSRA12E67E848X,,6,100,,1,0,0,0
9800385,FNTPLA21A29L014T,,12,100,1,1,0,0,0
9800386,FNTLRA09H62B844Y,,6,100,,1,0,0,0
9800387,RZZMTT21S14H214X,,6,50,1,1,0,0,0
9800388,GLLCHR10T56L085A,,6,100,,1,0,0,0
9800389,GRCMRC08D24L132N,,0,0,,0,1,1,
9800390,SPSVNT18S58F962S,,6,50,,1,0,0,0
9800391,BNCLCU01S23B877G,,6,100,,1,0,0,0
9800392,RMNNNA06C50B709W,,6,50,,1,0,0,0
9800393,CSTMTT08B25L952N,,6,100,,1,0,0,0
9800394,SPSLNE03E65G694V,,6,100,,1,0,0,0
9800395,FRRGRL12B21D530G,,0,0,,0,1,1,
9800396,FRRCHR00D41E354K,,6,50,,1,0,0,0
9800397,FRRNCL14P22B196A,,12,100,,1,0,0,0
9800398,LMBLRA02H69M401J,,6,50,,1,0,0,0
9800400,MRNSFN09M05I373L,,12,100,,1,0,0,0
9800401,RZZLNE17A42I107D,,6,50,,1,0,0,0
9800402,RMNSFN11L05M384M,,0,0,,0,1,1,
9800403,BRBFNC00T68M421O,,12,50,,1,0,0,0
9800404,FNTLSN11E05M422T,,6,100,,1,0,0,0
9800405,FRRCHR12A42M423M,,12,50,,1,0,0,0
9800406,MRNMTT11C15F861H,,12,100,,1,0,0,0
9800407,LMBMRT19S56M426U,,6,50,,1,0,0,0
9800409,FNTGRL21H29M437A,,0,0,1,0,1,1,
9800410,BRNSFO05H46M436L,,6,50,,1,0,0,0
9800411,CSTLCU99H03M438L,,6,100,,1,0,0,0
9800412,RMNGLI16D53M439E,,6,100,,1,0,0,0
9800413,FNTGRL02D04I242S,,6,50,,1,0,0,0
9800414,BNCGLI14S42E008G,,12,100,,1,0,0,0
9800415,RZZLCU18R27E912U,,0,0,,0,1,1,
9800416,RMNMRT04R63L359L,,6,100,,1,0,0,0
9800417,CSTGNN11R22C938A,,6,50,,1,0,0,0
9800418,LMBSFO22E69G167G,,6,50,1,1,0,0,0
9800419,CNTSMN05B06B912K,,12,50,,1,0,0,0
9800420,GLLCHR11D49F994F,,12,100,,1,0,0,0
9800421,RZZMTT16L25A400L,,0,0,,0,1,1,
9800422,FRRGLI99B64H781T,,12,100,,1,0,0,0
9800423,BRBNDR09P06A444P,,12,50,,1,0,0,0
9800424,RMNNNA05L71G587B,,6,100,,1,0,0,0
9800425,BNCNCL09M09I799M,,6,100,,1,0,0,0
9800426,BRBFRC22P52C383G,,6,50,1,1,0,0,0
9800427,BRNSMN13R22H606X,,0,0,,0,1,1,
9800428,GLLLNE09D59D549N,,6,50,,1,0,0,0
9800429,BRBPLA14T26H253B,,6,100,,1,0,0,0
9800430,MRTLRA17C41L810Q,,12,50,,1,0,0,0
9800431,GRCMRC99D17M171F,,12,50,,1,0,0,0
9800432,RSSMTN08D58C670D,,6,100,,1,0,0,0
9800433,GLLPLA11E25I908C,,0,0,,0,1,1,
9800434,GRCGLI00C47F442D,,12,50,,1,0,0,0
9800435,MRTMTT14T11F675K,,6,50,,1,0,0,0
9800436,MRTLNE07H53I124Z,,6,100,,1,0,0,0
9800437,CNTLSN03R09A206Y,,12,100,,1,0,0,0
9800438,BRNSFO06L66F514E,,12,50,,1,0,0,0
9800439,RSSMTT15M06I965C,,0,0,,0,1,1,
9800440,MRNGLI14M67D788C,,12,100,,1,0,0,0
9800441,RMNDVD09S04C812X,,6,100,,1,0,0,0
9800442,MRNCHR06B68A075C,,6,50,,1,0,0,0
9800443,BRNGRL09L01A374Q,,12,100,,1,0,0,0
9800444,SPSMRT06S56B349F,,6,50,,1,0,0,0
9800445,MRTPLA01A05L040U,,0,0,,0,1,1,
9800446,CNTCHR19E52H938L,,12,100,,1,0,0,0
9800449,BRNSFN00C22I527W,,12,50,,1,0,0,0
9800450,MRNSRA05C53E113U,,6,50,,1,0,0,0
9800451,SPSSFN13L25D748N,,12,100,,1,0,0,0
9800452,SPSMRT99A52I109O,,6,50,,1,0,0,0
9800453,BRBGRL10A31L937F,,0,0,,0,1,1,
9800454,GRCMTN22P51B578P,,6,50,1,1,0,0,0
9800455,CNTGNN18C15I435D,,12,50,,1,0,0,0
9800456,RSSSFO16C48E980P,,6,50,,1,0,0,0
9800457,GRCMTT13M27H996X,,12,100,,1,0,0,0
9800458,FRRVNT03B55C215U,,12,100,,1,0,0,0
9800459,MRTLCU07M10D882H,,0,0,,0,1,1,
9800460,LMBGLI06P49B493C,,6,50,,1,0,0,0
9800461,FRRSFN14L21H048X,,12,100,,1,0,0,0
9800462,FNTVNT14D61D118Z,,12,50,,1,0,0,0
9800463,GRCLCU05C26H022P,,12,100,,1,0,0,0
9800464,MRNLRA00D69E692U,,12,50,,1,0,0,0
9800465,GLLGRL18A18L267U,,0,0,,0,1,1,
9800466,MRNSFO03B55L199Y,,6,50,,1,0,0,0
9800467,BRBGNN14C16F092K,,12,50,,1,0,0,0
9800468,FNTLNE11T56B589B,,6,100,,1,0,0,0
9800469,CNTDVD09R05L551Z,,6,50,,1,0,0,0
9800470,GLLMRT16S51B128V,,12,100,,1,0,0,0
9800471,RMNSFN13A22F963D,,0,0,,0,1,1,
9800472,CSTLRA06R70D161I,,12,100,,1,0,0,0
9800473,RSSPLA99T14H556E,,6,50,,1,0,0,0
9800474,GRCMTN01B56H117K,,12,100,,1,0,0,0
9800475,MRTGNN10E08I595J,,12,100,,1,0,0,0
9800476,GLLLNE14E47B642I,,12,50,,1,0,0,0
9800477,RZZLSN99E24B345Y,,0,0,,0,1,1,
9800478,CSTGLI02C60L624C,,12,50,,1,0,0,0
9800479,CSTMTT09T28D407W,,12,100,,1,0,0,0
9800482,LMBMTN13S46F964X,,6,50,,1,0,0,0
9800483,FRRPLA12D01I430Z,,12,50,,1,0,0,0
9800484,SPSLNE03D61I867H,,6,50,,1,0,0,0
9800485,BRBNDR14A21F725F,,0,0,,0,1,1,
9800486,BRNGLI00D54E682I,,6,50,,1,0,0,0
9800487,GRCDVD09H11B485S,,12,50,,1,0,0,0
9800488,BNCLRA08H65I417B,,12,50,,1,0,0,0
9800489,BNCLSN12L21E936I,,6,50,,1,0,0,0
9800490,LMBGLI20C48G855Q,,12,100,,1,0,0,0
9800491,LMBDVD15B09H768V,,0,0,,0,1,1,
9800492,CNTGLI16B60C207M,,12,50,,1,0,0,0
9800493,CNTGNN20R01E709K,,12,100,1,1,0,0,0
9800494,CSTMRT11H59D889A,,6,50,,1,0,0,0
9800496,MRTMRC03S19F461I,,6,50,,1,0,0,0
9800497,SPSSRA04M54D020S,,12,100,,1,0,0,0
9800498,RZZGRL02M15H823B,,0,0,,0,1,1,
