ID_SOGGETTO,ID_OPERAZIONE,FLAG_PERSONA_FISICA,COGNOME,NOME,SESSO,DATA_NASCITA,DATA_INIZIO_VALIDITA,DATA_FINE_VALIDITA,MATCHCODE,ID_STATO_ANAGRAFICO,ID_STATO_SOGGETTO,ID_CITTADINANZA,ID_NAZIONE,CODICEFISCALE,FLAGCFCERTIFICATO,ID_LUOGO,ID_FONTE_PROVENIENZA,ID_FONTE_RIFERIMENTO,DENOMINAZIONE,PARTITAIVA,DATA_COSTITUZIONE,PK_FORMA_GIURIDICA,COD_FORMA_GIURIDICA,CODICE_ATECO,DATA_CANCELLAZIONE,DATA_DECESSO,INDIRIZZO_PEC
100010,900000000000010,S,Rizzo,Davide,M,1963-07-05,2024-07-04,,RIZZODAVID,1,1,1,100,RZZDVD63L05G408Q,S,48199,2,3,,,,,,,,,
100011,900000000000011,S,Fontana,Marta,F,1983-03-19,2022-10-26,,FONTANAMAR,1,1,1,100,FNTMRT83C59D956C,S,47561,3,4,,,,,,,,,
100012,900000000000012,S,Greco,Marco,M,1979-10-31,2021-09-26,,GRECOMARCO,1,1,1,100,GRCMRC79R31I821J,S,47753,1,1,,,,,,,,,
100013,900000000000013,S,Moretti,Paolo,M,1984-04-17,2018-01-18,,MORETTIPAO,1,1,1,100,MRTPLA84D17L058K,S,47819,2,2,,,,,,,,,
100014,900000000000014,S,Barbieri,Anna,F,1995-05-09,2023-02-06,,BARBIERIAN,1,1,1,100,BRBNNA95E49E502T,S,47049,3,3,,,,,,,,,
100015,900000000000015,S,Barbieri,Marco,M,1967-10-09,2023-05-01,,BARBIERIMA,1,1,1,100,BRBMRC67R09B107X,S,47111,1,4,,,,,,,,,
100016,900000000000016,S,Esposito,Federica,F,1946-10-02,2022-11-04,,ESPOSITOFE,1,1,1,100,SPSFRC46R42F360S,S,47112,2,1,,,,,,,,,
100017,900000000000017,S,Conti,Paolo,M,1953-05-27,2021-05-19,,CONTIPAOLO,1,1,1,100,CNTPLA53E27C384I,S,47171,3,2,,,,,,,,,
100018,900000000000018,S,Lombardi,Davide,M,1970-07-23,2022-08-09,,LOMBARDIDA,1,1,1,100,LMBDVD70L23D442I,S,47240,1,3,,,,,,,,,
100019,900000000000019,S,Gallo,Giulia,F,1353-08-31,2018-09-27,,GALLOGIULI,1,1,1,100,GLLGLI53M71A438M,S,47304,2,4,,,,,,,,,
100020,900000000000020,S,Rossi,Paolo,M,1998-10-29,2022-04-21,,ROSSIPAOLO,1,1,1,100,RSSPLA98R29A837S,S,46790,3,1,,,,,,,,,
100021,900000000000021,S,Greco,Elena,F,1937-09-22,2023-12-23,,GRECOELENA,1,1,1,100,GRCLNE37P62E708W,S,46342,1,2,,,,,,,,,
100022,900000000000022,S,Costa,Andrea,M,1996-08-20,2019-01-20,,COSTAANDRE,1,1,1,100,CSTNDR96M20C544Z,S,46471,2,3,,,,,,,,,
100023,900000000000023,S,Rossi,Gabriele,M,1984-03-24,2021-11-06,,ROSSIGABRI,1,1,1,100,RSSGRL84C24C605P,S,51910,3,4,,,,,,,,,
100024,900000000000024,S,Fontana,Sofia,F,2000-05-14,2022-07-12,,FONTANASOF,1,1,1,100,FNTSFO00E54E731A,S,51082,1,1,,,,,,,,,
100025,900000000000025,S,Barbieri,Alessandro,M,2002-12-19,2023-10-10,,BARBIERIAL,1,1,1,100,BRBLSN02T19B511M,S,51142,2,2,,,,,,,,,
100026,900000000000026,S,Barbieri,Valentina,F,1958-10-22,2022-07-27,,BARBIERIVA,1,1,1,100,BRBVNT58R62G565Y,S,51268,3,3,,,,,,,,,
100027,900000000000027,S,Barbieri,Luca,M,2002-01-23,2022-07-14,,BARBIERILU,1,1,1,100,BRBLCU02A23H580X,S,51461,1,4,,,,,,,,,
100028,900000000000028,S,Costa,Davide,M,1963-09-10,2017-03-01,,COSTADAVID,1,1,1,100,CSTDVD63P10G943X,S,50697,2,1,,,,,,,,,
100029,900000000000029,S,Romano,Martina,F,1949-10-18,2021-04-21,,ROMANOMART,1,1,1,100,RMNMTN49R58E403Y,S,50758,3,2,,,,,,,,,
100030,900000000000030,S,Rizzo,Paolo,M,2004-06-05,2018-09-22,,RIZZOPAOLO,1,1,1,100,RZZPLA04H05B403R,S,50821,1,3,,,,,,,,,
100031,900000000000031,S,Fontana,Martina,F,2014-08-19,2023-02-16,,FONTANAMAR,1,1,1,100,FNTMTN14M59M172T,S,40714,2,4,,,,,,,,,
100032,900000000000032,S,Bruno,Alessandro,M,2020-12-12,2024-06-24,,BRUNOALESS,1,1,1,100,BRNLSN20T12A231H,S,40839,3,1,,,,,,,,,
100033,900000000000033,S,Marino,Stefano,M,1994-08-31,2018-07-21,,MARINOSTEF,1,1,1,100,MRNSFN94M31G224Z,S,40840,1,2,,,,,,,,,
100034,900000000000034,S,Romano,Anna,F,1978-10-20,2018-03-12,,ROMANOANNA,1,1,1,100,RMNNNA78R60C890S,S,40071,2,3,,,,,,,,,
100035,900000000000035,S,Romano,Andrea,M,1972-09-30,2024-08-07,,ROMANOANDR,1,1,1,100,RMNNDR72P30D680J,S,40132,3,4,,,,,,,,,
100036,900000000000036,S,Ferrari,Elena,F,1935-06-10,2022-03-19,,FERRARIELE,1,1,1,100,FRRLNE35H50I375R,S,40133,1,1,,,,,,,,,
100037,900000000000037,S,Marino,Marco,M,1979-06-15,2023-09-05,,MARINOMARC,1,1,1,100,MRNMRC79H15B546C,S,40201,2,2,,,,,,,,,
100038,900000000000038,S,Esposito,Paolo,M,1949-09-10,2020-08-22,,ESPOSITOPA,1,1,1,100,SPSPLA49P10H356S,S,40326,3,3,,,,,,,,,
100039,900000000000039,S,Rizzo,Martina,F,1951-11-29,2024-05-26,,RIZZOMARTI,1,1,1,100,RZZMTN51S69D317X,S,40392,1,4,,,,,,,,,
100040,900000000000040,S,Romano,Stefano,M,1974-08-17,2023-01-31,,ROMANOSTEF,1,1,1,100,RMNSFN74M17H131F,S,40393,2,1,,,,,,,,,
100041,900000000000041,S,Conti,Laura,F,1979-09-13,2022-12-27,,CONTILAURA,1,1,1,100,CNTLRA79P53E071I,S,40453,3,2,,,,,,,,,
100042,900000000000042,S,Ferrari,Matteo,M,1997-11-01,2019-10-24,,FERRARIMAT,1,1,1,100,FRRMTT97S01L700C,S,39688,1,3,,,,,,,,,
100043,900000000000043,S,Gallo,Giovanni,M,2017-10-01,2018-06-20,,GALLOGIOVA,1,1,1,100,GLLGNN17R01A061F,S,46023,2,4,,,,,,,,,
100044,900000000000044,S,Ferrari,Laura,F,2008-01-29,2024-09-27,,FERRARILAU,1,1,1,100,FRRLRA08A69M199E,S,46024,3,1,,,,,,,,,
100045,900000000000045,S,Esposito,Marco,M,1926-09-06,2018-05-06,,ESPOSITOMA,1,1,1,100,SPSMRC26P06E588T,S,46025,1,2,,,,,,,,,
100046,900000000000046,S,Gallo,Giulia,F,1975-12-30,2022-12-24,,GALLOGIULI,1,1,1,100,GLLGLI75T70A471P,S,46084,2,3,,,,,,,,,
100047,900000000000047,S,Greco,Simone,M,1986-02-13,2024-06-28,,GRECOSIMON,1,1,1,100,GRCSMN86B13M032A,S,45701,3,4,,,,,,,,,
100048,900000000000048,S,Costa,Alessandro,M,1988-04-14,2021-12-17,,COSTAALESS,1,1,1,100,CSTLSN88D14G776W,S,45127,1,1,,,,,,,,,
100049,900000000000049,S,Marino,Sara,F,1284-12-27,2017-09-22,,MARINOSARA,1,1,1,100,MRNSRA84T67I563H,S,45189,2,2,,,,,,,,,
100050,900000000000050,S,Costa,Matteo,M,2008-01-07,2024-03-12,,COSTAMATTE,1,1,1,100,CSTMTT08A07D686B,S,45252,3,3,,,,,,,,,
100051,900000000000051,S,Bianchi,Francesca,F,1982-01-31,2018-08-02,,BIANCHIFRA,1,1,1,100,BNCFNC82A71I347G,S,44871,1,4,,,,,,,,,
100052,900000000000052,S,Marino,Gabriele,M,1962-06-06,2022-11-20,,MARINOGABR,1,1,1,100,MRNGRL62H06D330C,S,44934,2,1,,,,,,,,,
100053,900000000000053,S,Rossi,Davide,M,1958-12-28,2018-12-04,,ROSSIDAVID,1,1,1,100,RSSDVD58T28F922X,S,44360,3,2,,,,,,,,,
100054,900000000000054,S,Ferrari,Sofia,F,1931-01-25,2021-07-25,,FERRARISOF,1,1,1,100,FRRSFO31A65I120H,S,44361,1,3,,,,,,,,,
100055,900000000000055,S,Greco,Andrea,M,1946-06-11,2022-08-22,,GRECOANDRE,1,1,1,100,GRCNDR46H11I414F,S,59208,2,4,,,,,,,,,
100056,900000000000056,S,Lombardi,Laura,F,1951-02-11,2018-08-16,,LOMBARDILA,1,1,1,100,LMBLRA51B51L248K,S,44611,3,1,,,,,,,,,
100057,900000000000057,S,Rizzo,Giovanni,M,2001-10-05,2022-04-20,,RIZZOGIOVA,1,1,1,100,RZZGNN01R05I531I,S,43844,1,2,,,,,,,,,
100058,900000000000058,S,Greco,Marco,M,1977-11-03,2023-01-04,,GRECOMARCO,1,1,1,100,GRCMRC77S03A982J,S,43845,2,3,,,,,,,,,
100059,900000000000059,S,Lombardi,Sara,F,1948-11-24,2023-08-29,,LOMBARDISA,1,1,1,100,LMBSRA48S64F696X,S,44039,3,4,,,,,,,,,
100060,900000000000060,S,Marino,Giovanni,M,1979-06-12,2022-10-06,,MARINOGIOV,1,1,1,100,MRNGNN79H12D156I,S,44103,1,1,,,,,,,,,
100061,900000000000061,S,Moretti,Chiara,F,1926-03-30,2023-02-24,,MORETTICHI,1,1,1,100,MRTCHR26C70C577O,S,44165,2,2,,,,,,,,,
100062,900000000000062,S,Moretti,Simone,M,2023-04-06,2018-11-01,,MORETTISIM,1,1,1,100,MRTSMN23D06H625X,S,43590,3,3,,,,,,,,,
100063,900000000000063,S,Bianchi,Andrea,M,1972-12-23,2023-07-17,,BIANCHIAND,1,1,1,100,BNCNDR72T23E240I,S,43591,1,4,,,,,,,,,
100064,900000000000064,S,Barbieri,Valentina,F,2016-12-27,2021-12-20,,BARBIERIVA,1,1,1,100,BRBVNT16T67I401N,S,43653,2,1,,,,,,,,,
100065,900000000000065,S,Romano,Davide,M,1922-11-24,2019-04-07,,ROMANODAVI,1,1,1,100,RMNDVD22S24C037X,S,43014,3,2,,,,,,,,,
100066,900000000000066,S,Rossi,Sofia,F,1987-10-30,2022-01-05,,ROSSISOFIA,1,1,1,100,RSSSFO87R70F464B,S,43273,1,3,,,,,,,,,
100067,900000000000067,S,Fontana,Alessandro,M,1956-07-18,2018-10-10,,FONTANAALE,1,1,1,100,FNTLSN56L18G823D,S,41606,2,4,,,,,,,,,
100068,900000000000068,S,Fontana,Stefano,M,1978-06-20,2018-05-05,,FONTANASTE,1,1,1,100,FNTSFN78H20H620C,S,41669,3,1,,,,,,,,,
100069,900000000000069,S,Bruno,Valentina,F,1481-10-31,2022-05-24,,BRUNOVALEN,1,1,1,100,BRNVNT81R71H783I,S,41098,1,2,,,,,,,,,
100070,900000000000070,S,Ferrari,Matteo,M,1936-04-06,2018-09-10,,FERRARIMAT,1,1,1,100,FRRMTT36D06E171M,S,41159,2,3,,,,,,,,,
100071,900000000000071,S,Costa,Giulia,F,1971-02-14,2018-02-19,,COSTAGIULI,1,1,1,100,CSTGLI71B54L497W,S,41221,3,4,,,,,,,,,
100072,900000000000072,S,Fontana,Giovanni,M,1958-12-29,2021-02-06,,FONTANAGIO,1,1,1,100,FNTGNN58T29F394L,S,40518,1,1,,,,,,,,,
100073,900000000000073,S,Gallo,Stefano,M,1981-09-05,2021-10-28,,GALLOSTEFA,1,1,1,100,GLLSFN81P05E689W,S,40580,2,2,,,,,,,,,
100074,900000000000074,S,Rossi,Chiara,F,1994-08-25,2018-04-28,,ROSSICHIAR,1,1,1,100,RSSCHR94M65A637O,S,47621,3,3,,,,,,,,,
100075,900000000000075,S,Conti,Andrea,M,1932-05-27,2023-11-23,,CONTIANDRE,1,1,1,100,CNTNDR32E27G926N,S,42757,1,4,,,,,,,,,
100076,900000000000076,S,Rossi,Martina,F,1981-04-03,2019-05-11,,ROSSIMARTI,1,1,1,100,RSSMTN81D43D568E,S,42821,2,1,,,,,,,,,
100077,900000000000077,S,Costa,Alessandro,M,1944-06-08,2017-10-28,,COSTAALESS,1,1,1,100,CSTLSN44H08E970O,S,42951,3,2,,,,,,,,,
100078,900000000000078,S,Romano,Nicolo,M,1991-03-04,2022-05-25,,ROMANONICO,1,1,1,100,RMNNCL91C04E465N,S,42184,1,3,,,,,,,,,
100079,900000000000079,S,Esposito,Laura,F,1969-10-27,2021-09-12,,ESPOSITOLA,1,1,1,100,SPSLRA69R67M300T,S,42185,2,4,,,,,,,,,
100080,900000000000080,S,Bruno,Davide,M,2010-03-17,2017-02-24,,BRUNODAVID,1,1,1,100,BRNDVD10C17F826P,S,42373,3,1,,,,,,,,,
100081,900000000000081,S,Gallo,Giulia,F,2023-07-09,2017-04-16,,GALLOGIULI,1,1,1,100,GLLGLI23L49L939K,S,42439,1,2,,,,,,,,,
100082,900000000000082,S,Marino,Luca,M,1982-05-01,2023-07-22,,MARINOLUCA,1,1,1,100,MRNLCU82E01C987E,S,42503,2,3,,,,,,,,,
100083,900000000000083,S,Greco,Matteo,M,1983-09-24,2020-06-15,,GRECOMATTE,1,1,1,100,GRCMTT83P24H361S,S,42567,3,4,,,,,,,,,
100084,900000000000084,S,Rizzo,Anna,F,2007-10-12,2020-05-13,,RIZZOANNA,1,1,1,100,RZZNNA07R52B582D,S,41735,1,1,,,,,,,,,
100085,900000000000085,S,Costa,Marco,M,1996-05-26,2018-08-09,,COSTAMARCO,1,1,1,100,CSTMRC96E26E184A,S,41864,2,2,,,,,,,,,
100086,900000000000086,S,Lombardi,Francesca,F,2005-07-12,2021-07-21,,LOMBARDIFR,1,1,1,100,LMBFNC05L52B143L,S,41928,3,3,,,,,,,,,
100087,900000000000087,S,Costa,Davide,M,1923-03-08,2021-06-24,,COSTADAVID,1,1,1,100,CSTDVD23C08D578B,S,41286,1,4,,,,,,,,,
100088,900000000000088,S,Marino,Stefano,M,1938-05-04,2018-11-25,,MARINOSTEF,1,1,1,100,MRNSFN38E04G782Q,S,41348,2,1,,,,,,,,,
100089,900000000000089,S,Fontana,Martina,F,1434-07-09,2022-08-09,,FONTANAMAR,1,1,1,100,FNTMTN34L49I003S,S,41413,3,2,,,,,,,,,
100090,900000000000090,S,Ferrari,Alessandro,M,1999-04-13,2023-04-28,,FERRARIALE,1,1,1,100,FRRLSN99D13A795T,S,41414,1,3,,,,,,,,,
100091,900000000000091,S,Moretti,Francesca,F,1984-04-23,2020-09-05,,MORETTIFRA,1,1,1,100,MRTFNC84D63I221A,S,41480,2,4,,,,,,,,,
100092,900000000000092,S,Rossi,Stefano,M,2016-09-27,2023-07-29,,ROSSISTEFA,1,1,1,100,RSSSFN16P27F172F,S,38923,3,1,,,,,,,,,
100093,900000000000093,S,Rossi,Matteo,M,2013-09-21,2022-11-28,,ROSSIMATTE,1,1,1,100,RSSMTT13P21F116L,S,38924,1,2,,,,,,,,,
100094,900000000000094,S,Ferrari,Marta,F,1937-08-18,2021-12-11,,FERRARIMAR,1,1,1,100,FRRMRT37M58B304I,S,38980,2,3,,,,,,,,,
100095,900000000000095,S,Conti,Nicolo,M,1961-02-05,2019-11-30,,CONTINICOL,1,1,1,100,CNTNCL61B05F770A,S,38981,3,4,,,,,,,,,
100096,900000000000096,S,Marino,Marta,F,1933-12-19,2019-04-11,,MARINOMART,1,1,1,100,MRNMRT33T59C735T,S,39045,1,1,,,,,,,,,
100097,900000000000097,S,Conti,Giovanni,M,2004-03-15,2022-05-14,,CONTIGIOVA,1,1,1,100,CNTGNN04C15F789X,S,39239,2,2,,,,,,,,,
100098,900000000000098,S,Rossi,Paolo,M,1965-05-22,2022-05-30,,ROSSIPAOLO,1,1,1,100,RSSPLA65E22E349Z,S,38152,3,3,,,,,,,,,
100099,900000000000099,S,Romano,Elena,F,2020-10-10,2019-09-05,,ROMANOELEN,1,1,1,100,RMNLNE20R50G442M,S,38216,1,4,,,,,,,,,
100100,900000000000100,S,Conti,Gabriele,M,2015-08-21,2020-06-22,,CONTIGABRI,1,1,1,100,CNTGRL15M21F190O,S,38217,2,1,,,,,,,,,
100101,900000000000101,S,Rossi,Sofia,F,1972-07-28,2018-03-18,,ROSSISOFIA,1,1,1,100,RSSSFO72L68C073S,S,38275,3,2,,,,,,,,,
100102,900000000000102,S,Esposito,Alessandro,M,1973-01-09,2022-03-04,,ESPOSITOAL,1,1,1,100,SPSLSN73A09C964D,S,38342,1,3,,,,,,,,,
100103,900000000000103,S,Lombardi,Alessandro,M,1957-02-21,2020-01-03,,LOMBARDIAL,1,1,1,100,LMBLSN57B21A161V,S,38407,2,4,,,,,,,,,
100104,900000000000104,S,Costa,Sofia,F,1965-03-30,2022-11-07,,COSTASOFIA,1,1,1,100,CSTSFO65C70A540L,S,37894,3,1,,,,,,,,,
100105,900000000000105,S,Moretti,Nicolo,M,1932-10-03,2023-10-02,,MORETTINIC,1,1,1,100,MRTNCL32R03B678M,S,37957,1,2,,,,,,,,,
100106,900000000000106,S,Greco,Anna,F,1958-01-05,2021-01-06,,GRECOANNA,1,1,1,100,GRCNNA58A45E622L,S,37446,2,3,,,,,,,,,
100107,900000000000107,S,Barbieri,Luca,M,1998-09-08,2022-06-02,,BARBIERILU,1,1,1,100,BRBLCU98P08I876J,S,37061,3,4,,,,,,,,,
100108,900000000000108,S,Conti,Luca,M,1945-11-27,2018-10-30,,CONTILUCA,1,1,1,100,CNTLCU45S27E429B,S,37128,1,1,,,,,,,,,
100109,900000000000109,S,Fontana,Giulia,F,1956-11-18,2018-09-09,,FONTANAGIU,1,1,1,100,FNTGLI56S58L723J,S,36807,2,2,,,,,,,,,
100110,900000000000110,S,Esposito,Davide,M,1979-06-15,2022-01-16,,ESPOSITODA,1,1,1,100,SPSDVD79H15G406Q,S,36230,3,3,,,,,,,,,
100111,900000000000111,S,Costa,Marta,F,1967-03-12,2020-08-21,,COSTAMARTA,1,1,1,100,CSTMRT67C52C919U,S,36292,1,4,,,,,,,,,
100112,900000000000112,S,Esposito,Nicolo,M,1992-02-20,2021-02-27,,ESPOSITONI,1,1,1,100,SPSNCL92B20C650G,S,43334,2,1,,,,,,,,,
100113,900000000000113,S,Bruno,Stefano,M,1946-03-13,2018-06-01,,BRUNOSTEFA,1,1,1,100,BRNSFN46C13L156C,S,35717,3,2,,,,,,,,,
100114,900000000000114,S,Romano,Valentina,F,1999-11-22,2018-12-11,,ROMANOVALE,1,1,1,100,RMNVNT99S62I063P,S,35975,1,3,,,,,,,,,
100115,900000000000115,S,Conti,Nicolo,M,1972-03-06,2017-10-16,,CONTINICOL,1,1,1,100,CNTNCL72C06C920V,S,36037,2,4,,,,,,,,,
100116,900000000000116,S,Ferrari,Sara,F,1939-01-19,2018-02-01,,FERRARISAR,1,1,1,100,FRRSRA39A59H897Q,S,35465,3,1,,,,,,,,,
100117,900000000000117,S,Conti,Simone,M,1992-09-23,2017-02-27,,CONTISIMON,1,1,1,100,CNTSMN92P23A443E,S,34949,1,2,,,,,,,,,
100118,900000000000118,S,Ferrari,Luca,M,1933-06-15,2021-01-27,,FERRARILUC,1,1,1,100,FRRLCU33H15C714P,S,57992,2,3,,,,,,,,,
100119,900000000000119,S,Marino,Laura,F,1926-01-04,2020-12-16,,MARINOLAUR,1,1,1,100,MRNLRA26A44L414Y,S,58246,3,4,,,,,,,,,
100120,900000000000120,S,Greco,Davide,M,1999-06-14,2017-03-11,,GRECODAVID,1,1,1,100,GRCDVD99H14D415W,S,58310,1,1,,,,,,,,,
100121,900000000000121,S,Fontana,Sara,F,1998-06-09,2020-05-31,,FONTANASAR,1,1,1,100,FNTSRA98H49G673I,S,58371,2,2,,,,,,,,,
100122,900000000000122,S,Fontana,Giovanni,M,1952-10-02,2019-06-21,,FONTANAGIO,1,1,1,100,FNTGNN52R02M103H,S,59209,3,3,,,,,,,,,
100123,900000000000123,S,Lombardi,Stefano,M,1350-09-03,2017-01-22,,LOMBARDIST,1,1,1,100,LMBSFN50P03G802E,S,58629,1,4,,,,,,,,,
100124,900000000000124,S,Greco,Sofia,F,1965-04-23,2022-05-11,,GRECOSOFIA,1,1,1,100,GRCSFO65D63F515I,S,35144,2,1,,,,,,,,,
100125,900000000000125,S,Costa,Alessandro,M,1999-09-20,2023-07-25,,COSTAALESS,1,1,1,100,CSTLSN99P20E592E,S,39430,3,2,,,,,,,,,
100126,900000000000126,S,Bianchi,Federica,F,2023-11-18,2023-04-18,,BIANCHIFED,1,1,1,100,BNCFRC23S58B106B,S,39493,1,3,,,,,,,,,
100127,900000000000127,S,Esposito,Andrea,M,1957-07-17,2020-09-18,,ESPOSITOAN,1,1,1,100,SPSNDR57L17L287D,S,39625,2,4,,,,,,,,,
100128,900000000000128,S,Fontana,Simone,M,1956-09-10,2023-03-18,,FONTANASIM,1,1,1,100,FNTSMN56P10C713J,S,29447,3,1,,,,,,,,,
100129,900000000000129,S,Esposito,Federica,F,1929-12-15,2018-07-11,,ESPOSITOFE,1,1,1,100,SPSFRC29T55A137P,S,28999,1,2,,,,,,,,,
100130,900000000000130,S,Lombardi,Paolo,M,1991-12-02,2024-03-22,,LOMBARDIPA,1,1,1,100,LMBPLA91T02B061Q,S,29060,2,3,,,,,,,,,
100131,900000000000131,S,Bruno,Chiara,F,1682-08-17,2023-07-15,,BRUNOCHIAR,1,1,1,100,BRNCHR82M57G914F,S,34244,3,4,,,,,,,,,
100132,900000000000132,S,Bianchi,Alessandro,M,1965-04-12,2021-04-28,,BIANCHIALE,1,1,1,100,BNCLSN65D12H594E,S,34437,1,1,,,,,,,,,
100133,900000000000133,S,Fontana,Giovanni,M,1193-09-17,2019-09-17,,FONTANAGIO,1,1,1,100,FNTGNN93P17G957C,S,33672,2,2,,,,,,,,,
100134,900000000000134,S,Gallo,Sofia,F,1973-11-02,2024-12-11,,GALLOSOFIA,1,1,1,100,GLLSFO73S42B433U,S,33800,3,3,,,,,,,,,
100135,900000000000135,S,Conti,Simone,M,1960-09-08,2019-02-09,,CONTISIMON,1,1,1,100,CNTSMN60P08E215Z,S,33159,1,4,,,,,,,,,
100136,900000000000136,S,Moretti,Marta,F,1957-01-16,2023-04-08,,MORETTIMAR,1,1,1,100,MRTMRT57A56I259L,S,33288,2,1,,,,,,,,,
100137,900000000000137,S,Barbieri,Nicolo,M,2000-05-03,2022-08-24,,BARBIERINI,1,1,1,100,BRBNCL00E03L947N,S,33289,3,2,,,,,,,,,
100138,900000000000138,S,Rossi,Matteo,M,1972-11-02,2024-05-13,,ROSSIMATTE,1,1,1,100,RSSMTT72S02I578P,S,33349,1,3,,,,,,,,,
100139,900000000000139,S,Costa,Sofia,F,2003-09-09,2017-10-09,,COSTASOFIA,1,1,1,100,CSTSFO03P49F130R,S,33476,2,4,,,,,,,,,
100140,900000000000140,S,Esposito,Paolo,M,1964-01-07,2024-08-21,,ESPOSITOPA,1,1,1,100,SPSPLA64A07I953R,S,33542,3,1,,,,,,,,,
100141,900000000000141,S,Greco,Laura,F,1979-12-30,2022-09-24,,GRECOLAURA,1,1,1,100,GRCLRA79T70A236E,S,23815,1,2,,,,,,,,,
100142,900000000000142,S,Conti,Paolo,M,1959-05-17,2024-08-12,,CONTIPAOLO,1,1,1,100,CNTPLA59E17G461K,S,23816,2,3,,,,,,,,,
100143,900000000000143,S,Esposito,Stefano,M,1985-03-09,2018-11-15,,ESPOSITOST,1,1,1,100,SPSSFN85C09D897R,S,32969,3,4,,,,,,,,,
100144,900000000000144,S,Gallo,Chiara,F,2017-09-15,2019-10-06,,GALLOCHIAR,1,1,1,100,GLLCHR17P55A703V,S,33032,1,1,,,,,,,,,
100145,900000000000145,S,Esposito,Gabriele,M,1963-05-22,2021-02-26,,ESPOSITOGA,1,1,1,100,SPSGRL63E22L892V,S,33093,2,2,,,,,,,,,
100146,900000000000146,S,Moretti,Sara,F,1956-09-04,2020-07-29,,MORETTISAR,1,1,1,100,MRTSRA56P44E893Y,S,32326,3,3,,,,,,,,,
100147,900000000000147,S,Lombardi,Paolo,M,1957-04-23,2020-09-08,,LOMBARDIPA,1,1,1,100,LMBPLA57D23L736Y,S,32327,1,4,,,,,,,,,
100148,900000000000148,S,Barbieri,Stefano,M,1968-07-10,2022-10-24,,BARBIERIST,1,1,1,100,BRBSFN68L10L270I,S,32328,2,1,,,,,,,,,
100149,900000000000149,S,Fontana,Sara,F,1986-10-24,2021-10-13,,FONTANASAR,1,1,1,100,FNTSRA86R64C950A,S,32390,3,2,,,,,,,,,
100150,900000000000150,S,Bianchi,Alessandro,M,1700-04-21,2017-11-23,,BIANCHIALE,1,1,1,100,BNCLSN00D21D496Z,S,24074,1,3,,,,,,,,,
100151,900000000000151,S,Fontana,Francesca,F,1949-07-09,2024-10-09,,FONTANAFRA,1,1,1,100,FNTFNC49L49C057H,S,32450,2,4,,,,,,,,,
100152,900000000000152,S,Bianchi,Alessandro,M,1968-07-10,2018-05-29,,BIANCHIALE,1,1,1,100,BNCLSN68L10G323T,S,32451,3,1,,,,,,,,,
100153,900000000000153,S,Barbieri,Gabriele,M,1970-10-09,2023-11-02,,BARBIERIGA,1,1,1,100,BRBGRL70R09D419B,S,23369,1,2,,,,,,,,,
100154,900000000000154,S,Bruno,Giulia,F,1931-08-05,2023-07-01,,BRUNOGIULI,1,1,1,100,BRNGLI31M45H220E,S,23370,2,3,,,,,,,,,
