id_anagrafica,cod_fiscale,cod_partita_iva,fk_comune_residenza,de_indirizzo_residenza,flg_dic_presentata_prima_volta,flg_pf_mini,flg_grandi_contrib,fk_comune_nascita,dt_nascita,flg_sesso,cod_stato_civile,de_cognome,de_nome,de_numero_telefono,de_numero_fax,de_mail,fk_comune_fiscale
9800015,BRBMRC67R09B107X,,47111,Corso Garibaldi 39,,0,0,47111,1967-10-09,M,C,Barbieri,Marco,3352849036,,marco.barbieri19@example.it,47111
9800016,SPSFRC46R42F360S,,47112,Piazza Dante 173,,0,0,47112,1946-10-02,F,C,Esposito,Federica,3562567948,,federica.esposito12@example.it,47112
9800017,CNTPLA53E27C384I,,47171,Viale Mazzini 42,,0,0,47171,1953-05-27,M,S,Conti,Paolo,3792080239,,paolo.conti23@example.it,47171
9800018,LMBDVD70L23D442I,,47240,Strada Marconi 10,,0,0,47240,1970-07-23,M,V,Lombardi,Davide,3284242050,,davide.lombardi76@example.it,47240
9800019,GLLGLI53M71A438M,,47304,Viale Kennedy 70,,0,0,47304,1353-08-31,F,V,Gallo,Giulia,3337071524,,giulia.gallo15@example.it,47304
9800020,RSSPLA98R29A837S,,46790,Via Kennedy 54,,0,0,46790,1998-10-29,M,S,Rossi,Paolo,3735543959,,paolo.rossi94@example.it,46790
9800021,GRCLNE37P62E708W,,46342,Piazza Manzoni 17,1,0,0,46342,1937-09-22,F,D,Greco,Elena,3666631720,,elena.greco34@example.it,46342
9800022,CSTNDR96M20C544Z,,46471,Strada Pascoli 144,,1,0,46471,1996-08-20,M,V,Costa,Andrea,3433570357,,andrea.costa32@example.it,46471
9800023,RSSGRL84C24C605P,,51910,Piazza Verdi 88,,0,0,51910,1984-03-24,M,V,Rossi,Gabriele,3555818569,,gabriele.rossi70@example.it,51910
9800024,FNTSFO00E54E731A,,51082,Via Verdi 120,,0,0,51082,2000-05-14,F,V,Fontana,Sofia,3655360624,,sofia.fontana39@example.it,51082
9800025,BRBLSN02T19B511M,,51142,Piazza Manzoni 35,,0,0,51142,2002-12-19,M,S,Barbieri,Alessandro,3435769060,,alessandro.barbieri20@example.it,51142
9800026,BRBVNT58R62G565Y,,51268,Borgo Europa 170,,0,0,51268,1958-10-22,F,C,Barbieri,Valentina,3885434263,,valentina.barbieri49@example.it,51268
9800027,BRBLCU02A23H580X,,51461,Strada Garibaldi 25,,0,0,51461,2002-01-23,M,N,Barbieri,Luca,3725032601,,luca.barbieri60@example.it,51461
9800028,CSTDVD63P10G943X,,50697,Corso Cavour 6,1,0,0,50697,1963-09-10,M,V,Costa,Davide,3523554382,,davide.costa41@example.it,50697
9800029,RMNMTN49R58E403Y,,50758,Via Roma 10,,0,0,50758,1949-10-18,F,S,Romano,Martina,3383670239,,martina.romano10@example.it,50758
9800030,RZZPLA04H05B403R,,50821,Borgo Roma 174,,0,0,50821,2004-06-05,M,S,Rizzo,Paolo,3293175988,,paolo.rizzo84@example.it,50821
9800031,FNTMTN14M59M172T,,40714,Strada Cavour 141,,0,0,40714,2014-08-19,F,N,Fontana,Martina,3306978774,,martina.fontana55@example.it,40714
9800032,BRNLSN20T12A231H,,40839,Corso Mazzini 44,,0,0,40839,2020-12-12,M,D,Bruno,Alessandro,3749746866,,alessandro.bruno55@example.it,40839
9800033,MRNSFN94M31G224Z,,40840,Viale Dante 56,,1,0,40840,1994-08-31,M,V,Marino,Stefano,3317603643,,stefano.marino39@example.it,40840
9800034,RMNNNA78R60C890S,,40071,Viale Europa 9,,0,0,40071,1978-10-20,F,V,Romano,Anna,3777130635,,anna.romano87@example.it,40071
9800035,RMNNDR72P30D680J,,40132,Viale Europa 9,1,0,0,40132,1972-09-30,M,V,Romano,Andrea,3723866884,,andrea.romano10@example.it,40132
9800036,FRRLNE35H50I375R,,40133,Strada Marconi 103,,0,0,40133,1935-06-10,F,D,Ferrari,Elena,3549372162,,elena.ferrari94@example.it,40133
9800037,MRNMRC79H15B546C,,40201,Borgo Verdi 106,,0,0,40201,1979-06-15,M,D,Marino,Marco,3258206459,,marco.marino9@example.it,40201
9800038,SPSPLA49P10H356S,,40326,Via Carducci 139,,0,0,40326,1949-09-10,M,N,Esposito,Paolo,3302723863,,paolo.esposito33@example.it,40326
9800039,RZZMTN51S69D317X,,40392,Piazza Manzoni 122,,0,0,40392,1951-11-29,F,C,Rizzo,Martina,3753283546,,martina.rizzo6@example.it,40392
9800040,RMNSFN74M17H131F,,40393,Borgo Carducci 27,,0,0,40393,1974-08-17,M,D,Romano,Stefano,3444648565,,stefano.romano31@example.it,40393
9800041,CNTLRA79P53E071I,,40453,Piazza Mazzini 36,,0,0,40453,1979-09-13,F,C,Conti,Laura,3242148590,,laura.conti26@example.it,40453
9800042,FRRMTT97S01L700C,,39688,Viale Dante 170,1,0,0,39688,1997-11-01,M,C,Ferrari,Matteo,3417314575,,matteo.ferrari2@example.it,39688
9800043,GLLGNN17R01A061F,,46023,Via Manzoni 15,,0,0,46023,2017-10-01,M,N,Gallo,Giovanni,3953072753,,giovanni.gallo82@example.it,46023
9800044,FRRLRA08A69M199E,,46024,Strada Mazzini 48,,1,0,46024,2008-01-29,F,C,Ferrari,Laura,3266552450,,laura.ferrari23@example.it,46024
9800045,SPSMRC26P06E588T,,46025,Borgo Marconi 75,,0,0,46025,1926-09-06,M,C,Esposito,Marco,3422749545,,marco.esposito81@example.it,46025
9800046,GLLGLI75T70A471P,,46084,Borgo Pascoli 23,,0,0,46084,1975-12-30,F,D,Gallo,Giulia,3781853529,,giulia.gallo85@example.it,46084
9800047,GRCSMN86B13M032A,,45701,Borgo Marconi 70,,0,0,45701,1986-02-13,M,C,Greco,Simone,3884302783,,simone.greco56@example.it,45701
9800048,CSTLSN88D14G776W,,45127,Viale Dante 67,,0,0,45127,1988-04-14,M,V,Costa,Alessandro,3997396042,,alessandro.costa45@example.it,45127
9800049,MRNSRA84T67I563H,,45189,Piazza Cavour 159,1,0,0,45189,1284-12-27,F,C,Marino,Sara,3513329081,,sara.marino30@example.it,45189
9800050,CSTMTT08A07D686B,,45252,Piazza Europa 179,,0,0,45252,2008-01-07,M,D,Costa,Matteo,3328385033,,matteo.costa84@example.it,45252
9800051,BNCFNC82A71I347G,,44871,Via Mazzini 92,,0,0,44871,1982-01-31,F,N,Bianchi,Francesca,3247787940,,francesca.bianchi62@example.it,44871
9800052,MRNGRL62H06D330C,,44934,Corso Cavour 137,,0,0,44934,1962-06-06,M,S,Marino,Gabriele,3409064846,,gabriele.marino15@example.it,44934
9800053,RSSDVD58T28F922X,,44360,Strada Pascoli 67,,0,0,44360,1958-12-28,M,V,Rossi,Davide,3802060868,,davide.rossi57@example.it,44360
9800054,FRRSFO31A65I120H,,44361,Borgo Dante 19,,0,0,44361,1931-01-25,F,S,Ferrari,Sofia,3453973700,,sofia.ferrari80@example.it,44361
9800055,GRCNDR46H11I414F,,59208,Via Cavour 145,,1,0,59208,1946-06-11,M,N,Greco,Andrea,3338850743,,andrea.greco3@example.it,59208
9800056,LMBLRA51B51L248K,,44611,Strada Cavour 82,1,0,0,44611,1951-02-11,F,D,Lombardi,Laura,3615792748,,laura.lombardi85@example.it,44611
9800057,RZZGNN01R05I531I,,43844,Via Garibaldi 56,,0,0,43844,2001-10-05,M,N,Rizzo,Giovanni,3789734234,,giovanni.rizzo63@example.it,43844
9800058,GRCMRC77S03A982J,,43845,Strada Cavour 64,,0,0,43845,1977-11-03,M,V,Greco,Marco,3841486707,,marco.greco18@example.it,43845
9800059,LMBSRA48S64F696X,,44039,Corso Pascoli 52,,0,0,44039,1948-11-24,F,V,Lombardi,Sara,3247840134,,sara.lombardi76@example.it,44039
9800060,MRNGNN79H12D156I,,44103,Piazza Roma 72,,0,0,44103,1979-06-12,M,N,Marino,Giovanni,3924925337,,giovanni.marino53@example.it,44103
9800061,MRTCHR26C70C577O,,44165,Piazza Mazzini 106,,0,0,44165,1926-03-30,F,S,Moretti,Chiara,3485559792,,chiara.moretti76@example.it,44165
9800062,MRTSMN23D06H625X,,43590,Corso Manzoni 154,,0,0,43590,2023-04-06,M,C,Moretti,Simone,3647697182,,simone.moretti67@example.it,43590
9800063,BNCNDR72T23E240I,,43591,Piazza Garibaldi 152,1,0,0,43591,1972-12-23,M,V,Bianchi,Andrea,3701590272,,andrea.bianchi24@example.it,43591
9800064,BRBVNT16T67I401N,,43653,Strada Carducci 43,,0,0,43653,2016-12-27,F,C,Barbieri,Valentina,3381189229,,valentina.barbieri72@example.it,43653
9800065,RMNDVD22S24C037X,,43014,Via Manzoni 146,,0,0,43014,1922-11-24,M,N,Romano,Davide,3544789950,,davide.romano22@example.it,43014
9800066,RSSSFO87R70F464B,,43273,Via Garibaldi 104,,1,0,43273,1987-10-30,F,C,Rossi,Sofia,3976663567,,sofia.rossi22@example.it,43273
9800067,FNTLSN56L18G823D,,41606,Strada Garibaldi 86,,0,0,41606,1956-07-18,M,S,Fontana,Alessandro,3328449877,,alessandro.fontana36@example.it,41606
9800068,FNTSFN78H20H620C,,41669,Via Marconi 78,,0,0,41669,1978-06-20,M,V,Fontana,Stefano,3563496890,,stefano.fontana27@example.it,41669
9800069,BRNVNT81R71H783I,,41098,Strada Garibaldi 165,,0,0,41098,1481-10-31,F,S,Bruno,Valentina,3735259001,,valentina.bruno73@example.it,41098
9800070,FRRMTT36D06E171M,,41159,Via Carducci 140,1,0,0,41159,1936-04-06,M,D,Ferrari,Matteo,3558989131,,matteo.ferrari90@example.it,41159
9800071,CSTGLI71B54L497W,,41221,Piazza Manzoni 25,,0,0,41221,1971-02-14,F,S,Costa,Giulia,3305742682,,giulia.costa90@example.it,41221
9800072,FNTGNN58T29F394L,,40518,Viale Europa 131,,0,0,40518,1958-12-29,M,S,Fontana,Giovanni,3836168112,,giovanni.fontana63@example.it,40518
9800073,GLLSFN81P05E689W,,40580,Corso Dante 11,,0,0,40580,1981-09-05,M,S,Gallo,Stefano,3579023975,,stefano.gallo40@example.it,40580
9800074,RSSCHR94M65A637O,,47621,Viale Garibaldi 63,,0,0,47621,1994-08-25,F,C,Rossi,Chiara,3584478370,,chiara.rossi23@example.it,47621
9800075,CNTNDR32E27G926N,,42757,Corso Kennedy 90,,0,0,42757,1932-05-27,M,S,Conti,Andrea,3695317285,,andrea.conti50@example.it,42757
9800076,RSSMTN81D43D568E,,42821,Strada Pascoli 144,,0,0,42821,1981-04-03,F,C,Rossi,Martina,3759300099,,martina.rossi35@example.it,42821
9800077,CSTLSN44H08E970O,,42951,Borgo Europa 75,1,1,0,42951,1944-06-08,M,N,Costa,Alessandro,3593056486,,alessandro.costa15@example.it,42951
9800078,RMNNCL91C04E465N,,42184,Via Cavour 165,,0,0,42184,1991-03-04,M,D,Romano,Nicolo,3872207743,,nicolo.romano47@example.it,42184
9800079,SPSLRA69R67M300T,,42185,Viale Mazzini 52,,0,0,42185,1969-10-27,F,S,Esposito,Laura,3416518269,,laura.esposito47@example.it,42185
9800080,BRNDVD10C17F826P,,42373,Piazza Cavour 146,,0,0,42373,2010-03-17,M,D,Bruno,Davide,3504213717,,davide.bruno2@example.it,42373
9800081,GLLGLI23L49L939K,,42439,Viale Garibaldi 58,,0,0,42439,2023-07-09,F,N,Gallo,Giulia,3983189412,,giulia.gallo76@example.it,42439
9800082,MRNLCU82E01C987E,,42503,Viale Dante 61,,0,0,42503,1982-05-01,M,V,Marino,Luca,3853308370,,luca.marino83@example.it,42503
9800083,GRCMTT83P24H361S,,42567,Via Mazzini 107,,0,0,42567,1983-09-24,M,V,Greco,Matteo,3351762107,,matteo.greco22@example.it,42567
9800084,RZZNNA07R52B582D,,41735,Strada Manzoni 71,1,0,0,41735,2007-10-12,F,C,Rizzo,Anna,3363310392,,anna.rizzo95@example.it,41735
9800085,CSTMRC96E26E184A,,41864,Corso Manzoni 140,,0,0,41864,1996-05-26,M,V,Costa,Marco,3446624075,,marco.costa1@example.it,41864
9800086,LMBFNC05L52B143L,,41928,Strada Cavour 19,,0,0,41928,2005-07-12,F,V,Lombardi,Francesca,3461215061,,francesca.lombardi12@example.it,41928
9800087,CSTDVD23C08D578B,,41286,Viale Verdi 141,,0,0,41286,1923-03-08,M,C,Costa,Davide,3656872380,,davide.costa42@example.it,41286
9800088,MRNSFN38E04G782Q,,41348,Via Manzoni 23,,1,0,41348,1938-05-04,M,D,Marino,Stefano,3578084184,,stefano.marino33@example.it,41348
9800089,FNTMTN34L49I003S,,41413,Strada Europa 47,,0,0,41413,1434-07-09,F,V,Fontana,Martina,3632472640,,martina.fontana33@example.it,41413
9800090,FRRLSN99D13A795T,,41414,Corso Pascoli 3,,0,0,41414,1999-04-13,M,C,Ferrari,Alessandro,3892395648,,alessandro.ferrari33@example.it,41414
9800091,MRTFNC84D63I221A,,41480,Strada Europa 150,1,0,0,41480,1984-04-23,F,D,Moretti,Francesca,3513263146,,francesca.moretti20@example.it,41480
9800092,RSSSFN16P27F172F,,38923,Via Cavour 142,,0,0,38923,2016-09-27,M,S,Rossi,Stefano,3837244637,,stefano.rossi52@example.it,38923
9800093,RSSMTT13P21F116L,,38924,Borgo Manzoni 68,,0,0,38924,2013-09-21,M,V,Rossi,Matteo,3526801724,,matteo.rossi41@example.it,38924
9800094,FRRMRT37M58B304I,,38980,Strada Garibaldi 33,,0,0,38980,1937-08-18,F,V,Ferrari,Marta,3507964366,,marta.ferrari9@example.it,38980
9800095,CNTNCL61B05F770A,,38981,Via Carducci 76,,0,0,38981,1961-02-05,M,S,Conti,Nicolo,3599797873,,nicolo.conti54@example.it,38981
9800096,MRNMRT33T59C735T,,39045,Borgo Carducci 8,,0,0,39045,1933-12-19,F,N,Marino,Marta,3375852845,,marta.marino62@example.it,39045
9800097,CNTGNN04C15F789X,,39239,Borgo Manzoni 26,,0,0,39239,2004-03-15,M,D,Conti,Giovanni,3926160457,,giovanni.conti31@example.it,39239
9800098,RSSPLA65E22E349Z,,38152,Strada Garibaldi 163,1,0,0,38152,1965-05-22,M,V,Rossi,Paolo,3506250185,,paolo.rossi13@example.it,38152
9800099,RMNLNE20R50G442M,,38216,Viale Verdi 21,,1,0,38216,2020-10-10,F,C,Romano,Elena,3854770691,,elena.romano82@example.it,38216
9800100,CNTGRL15M21F190O,,38217,Via Europa 48,,0,0,38217,2015-08-21,M,V,Conti,Gabriele,3742177542,,gabriele.conti47@example.it,38217
9800101,RSSSFO72L68C073S,,38275,Via Mazzini 121,,0,0,38275,1972-07-28,F,V,Rossi,Sofia,3879659542,,sofia.rossi92@example.it,38275
9800102,SPSLSN73A09C964D,,38342,Strada Pascoli 128,,0,0,38342,1973-01-09,M,D,Esposito,Alessandro,3247468166,,alessandro.esposito98@example.it,38342
9800103,LMBLSN57B21A161V,,38407,Strada Marconi 41,,0,0,38407,1957-02-21,M,D,Lombardi,Alessandro,3892774745,,alessandro.lombardi34@example.it,38407
9800104,CSTSFO65C70A540L,,37894,Piazza Mazzini 51,,0,0,37894,1965-03-30,F,V,Costa,Sofia,3603731520,,sofia.costa88@example.it,37894
9800105,MRTNCL32R03B678M,,37957,Via Roma 42,1,0,0,37957,1932-10-03,M,N,Moretti,Nicolo,3395005739,,nicolo.moretti35@example.it,37957
9800106,GRCNNA58A45E622L,,37446,Strada Marconi 173,,0,0,37446,1958-01-05,F,V,Greco,Anna,3406181149,,anna.greco98@example.it,37446
9800107,BRBLCU98P08I876J,,37061,Piazza Dante 98,,0,0,37061,1998-09-08,M,V,Barbieri,Luca,3619500965,,luca.barbieri29@example.it,37061
9800108,CNTLCU45S27E429B,,37128,Borgo Cavour 57,,0,0,37128,1945-11-27,M,S,Conti,Luca,3757686958,,luca.conti69@example.it,37128
9800109,FNTGLI56S58L723J,,36807,Piazza Cavour 178,,0,0,36807,1956-11-18,F,C,Fontana,Giulia,3404705297,,giulia.fontana83@example.it,36807
9800110,SPSDVD79H15G406Q,,36230,Piazza Manzoni 95,,1,0,36230,1979-06-15,M,D,Esposito,Davide,3872352228,,davide.esposito68@example.it,36230
9800111,CSTMRT67C52C919U,,36292,Corso Garibaldi 156,,0,0,36292,1967-03-12,F,C,Costa,Marta,3307027543,,marta.costa1@example.it,36292
9800112,SPSNCL92B20C650G,,43334,Corso Cavour 178,1,0,0,43334,1992-02-20,M,S,Esposito,Nicolo,3505322636,,nicolo.esposito37@example.it,43334
9800113,BRNSFN46C13L156C,,35717,Viale Kennedy 3,,0,0,35717,1946-03-13,M,D,Bruno,Stefano,3634190034,,stefano.bruno75@example.it,35717
9800114,RMNVNT99S62I063P,,35975,Viale Roma 50,,0,0,35975,1999-11-22,F,D,Romano,Valentina,3986260430,,valentina.romano22@example.it,35975
9800115,CNTNCL72C06C920V,,36037,Corso Carducci 26,,0,0,36037,1972-03-06,M,D,Conti,Nicolo,3239174376,,nicolo.conti85@example.it,36037
9800116,FRRSRA39A59H897Q,,35465,Via Kennedy 49,,0,0,35465,1939-01-19,F,S,Ferrari,Sara,3993030449,,sara.ferrari20@example.it,35465
9800117,CNTSMN92P23A443E,,34949,Piazza Pascoli 158,,0,0,34949,1992-09-23,M,N,Conti,Simone,3463021564,,simone.conti87@example.it,34949
9800118,FRRLCU33H15C714P,,57992,Viale Carducci 30,,0,0,57992,1933-06-15,M,S,Ferrari,Luca,3369510194,,luca.ferrari43@example.it,57992
9800119,MRNLRA26A44L414Y,,58246,Via Manzoni 60,1,0,0,58246,1926-01-04,F,V,Marino,Laura,3287539990,,laura.marino2@example.it,58246
9800120,GRCDVD99H14D415W,,58310,Via Europa 101,,0,0,58310,1999-06-14,M,D,Greco,Davide,3918302886,,davide.greco5@example.it,58310
9800121,FNTSRA98H49G673I,,58371,Viale Kennedy 123,,1,0,58371,1998-06-09,F,C,Fontana,Sara,3459705862,,sara.fontana1@example.it,58371
9800122,FNTGNN52R02M103H,,59209,Via Europa 79,,0,0,59209,1952-10-02,M,V,Fontana,Giovanni,3391026236,,giovanni.fontana10@example.it,59209
9800123,LMBSFN50P03G802E,,58629,Borgo Carducci 76,,0,0,58629,1350-09-03,M,V,Lombardi,Stefano,3863234664,,stefano.lombardi16@example.it,58629
9800124,GRCSFO65D63F515I,,35144,Strada Garibaldi 113,,0,0,35144,1965-04-23,F,S,Greco,Sofia,3985602052,,sofia.greco41@example.it,35144
9800125,CSTLSN99P20E592E,,39430,Strada Dante 118,,0,0,39430,1999-09-20,M,N,Costa,Alessandro,3859859756,,alessandro.costa39@example.it,39430
9800126,BNCFRC23S58B106B,,39493,Via Carducci 143,1,0,0,39493,2023-11-18,F,D,Bianchi,Federica,3473632621,,federica.bianchi37@example.it,39493
9800127,SPSNDR57L17L287D,,39625,Viale Pascoli 139,,0,0,39625,1957-07-17,M,C,Esposito,Andrea,3825687490,,andrea.esposito99@example.it,39625
9800128,FNTSMN56P10C713J,,29447,Strada Pascoli 62,,0,0,29447,1956-09-10,M,N,Fontana,Simone,3773007934,,simone.fontana20@example.it,29447
9800129,SPSFRC29T55A137P,,28999,Piazza Kennedy 159,,0,0,28999,1929-12-15,F,C,Esposito,Federica,3302262773,,federica.esposito62@example.it,28999
9800130,LMBPLA91T02B061Q,,29060,Strada Roma 112,,0,0,29060,1991-12-02,M,C,Lombardi,Paolo,3223228845,,paolo.lombardi58@example.it,29060
9800131,BRNCHR82M57G914F,,34244,Via Kennedy 145,,0,0,34244,1682-08-17,F,N,Bruno,Chiara,3815802438,,chiara.bruno3@example.it,34244
9800132,BNCLSN65D12H594E,,34437,Via Pascoli 134,,1,0,34437,1965-04-12,M,N,Bianchi,Alessandro,3855715679,,alessandro.bianchi92@example.it,34437
9800133,FNTGNN93P17G957C,,33672,Via Manzoni 123,1,0,0,33672,1193-09-17,M,S,Fontana,Giovanni,3276455138,,giovanni.fontana83@example.it,33672
9800134,GLLSFO73S42B433U,,33800,Corso Dante 28,,0,0,33800,1973-11-02,F,N,Gallo,Sofia,3863791104,,sofia.gallo64@example.it,33800
9800135,CNTSMN60P08E215Z,,33159,Viale Marconi 66,,0,0,33159,1960-09-08,M,S,Conti,Simone,3405172458,,simone.conti99@example.it,33159
9800136,MRTMRT57A56I259L,,33288,Via Verdi 83,,0,0,33288,1957-01-16,F,C,Moretti,Marta,3457609053,,marta.moretti46@example.it,33288
9800137,BRBNCL00E03L947N,,33289,Borgo Manzoni 156,,0,0,33289,2000-05-03,M,N,Barbieri,Nicolo,3543294411,,nicolo.barbieri26@example.it,33289
9800138,RSSMTT72S02I578P,,33349,Corso Roma 100,,0,0,33349,1972-11-02,M,C,Rossi,Matteo,3236712553,,matteo.rossi70@example.it,33349
9800139,CSTSFO03P49F130R,,33476,Via Cavour 169,,0,0,33476,2003-09-09,F,N,Costa,Sofia,3404604111,,sofia.costa9@example.it,33476
9800140,SPSPLA64A07I953R,,33542,Piazza Garibaldi 173,1,0,0,33542,1964-01-07,M,N,Esposito,Paolo,3342621229,,paolo.esposito54@example.it,33542
9800141,GRCLRA79T70A236E,,23815,Strada Kennedy 82,,0,0,23815,1979-12-30,F,S,Greco,Laura,3787557306,,laura.greco73@example.it,23815
9800142,CNTPLA59E17G461K,,23816,Piazza Roma 134,,0,0,23816,1959-05-17,M,S,Conti,Paolo,3218582321,,paolo.conti18@example.it,23816
9800143,SPSSFN85C09D897R,,32969,Piazza Mazzini 139,,1,0,32969,1985-03-09,M,S,Esposito,Stefano,3743894124,,stefano.esposito48@example.it,32969
9800144,GLLCHR17P55A703V,,33032,Via Carducci 147,,0,0,33032,2017-09-15,F,V,Gallo,Chiara,3589664265,,chiara.gallo56@example.it,33032
9800145,SPSGRL63E22L892V,,33093,Piazza Carducci 81,,0,0,33093,1963-05-22,M,D,Esposito,Gabriele,3958489707,,gabriele.esposito54@example.it,33093
9800146,MRTSRA56P44E893Y,,32326,Borgo Garibaldi 103,,0,0,32326,1956-09-04,F,V,Moretti,Sara,3773250578,,sara.moretti57@example.it,32326
9800147,LMBPLA57D23L736Y,,32327,Piazza Roma 24,1,0,0,32327,1957-04-23,M,V,Lombardi,Paolo,3588232270,,paolo.lombardi45@example.it,32327
9800148,BRBSFN68L10L270I,,32328,Viale Mazzini 36,,0,0,32328,1968-07-10,M,S,Barbieri,Stefano,3842519514,,stefano.barbieri50@example.it,32328
9800149,FNTSRA86R64C950A,,32390,Strada Garibaldi 50,,0,0,32390,1986-10-24,F,C,Fontana,Sara,3771512516,,sara.fontana71@example.it,32390
9800150,BNCLSN00D21D496Z,,24074,Via Europa 33,,0,0,24074,1700-04-21,M,S,Bianchi,Alessandro,3807525715,,alessandro.bianchi10@example.it,24074
9800151,FNTFNC49L49C057H,,32450,Corso Roma 4,,0,0,32450,1949-07-09,F,N,Fontana,Francesca,3961341320,,francesca.fontana3@example.it,32450
9800152,BNCLSN68L10G323T,,32451,Viale Carducci 42,,0,0,32451,1968-07-10,M,S,Bianchi,Alessandro,3496896496,,alessandro.bianchi10@example.it,32451
9800153,BRBGRL70R09D419B,,23369,Corso Garibaldi 48,,0,0,23369,1970-10-09,M,S,Barbieri,Gabriele,3622893754,,gabriele.barbieri17@example.it,23369
9800154,BRNGLI31M45H220E,,23370,Piazza Manzoni 60,1,1,0,23370,1931-08-05,F,C,Bruno,Giulia,3971030520,,giulia.bruno93@example.it,23370
9800155,CNTNCL46T06H916M,,32518,Viale Mazzini 58,,0,0,32518,1946-12-06,M,D,Conti,Nicolo,3628569941,,nicolo.conti17@example.it,32518
9800156,BNCLRA11D65A435T,,32519,Viale Europa 122,,0,0,32519,2011-04-25,F,S,Bianchi,Laura,3654537232,,laura.bianchi51@example.it,32519
9800157,FNTMTT93A09E092U,,23429,Corso Roma 24,,0,0,23429,1993-01-09,M,D,Fontana,Matteo,3872046247,,matteo.fontana48@example.it,23429
9800158,BRBNDR90M30H843N,,32584,Corso Carducci 49,,0,0,32584,1990-08-30,M,S,Barbieri,Andrea,3274828972,,andrea.barbieri36@example.it,32584
9800159,GLLMTN03E59F529Z,,23495,Piazza Verdi 86,,0,0,23495,2003-05-19,F,C,Gallo,Martina,3645688537,,martina.gallo51@example.it,23495
9800160,FNTSMN54L18A459G,,32708,Strada Marconi 52,,0,0,32708,1954-07-18,M,V,Fontana,Simone,3481767539,,simone.fontana7@example.it,32708
9800161,CNTLRA20M63G688N,,32709,Strada Marconi 143,1,0,0,32709,2020-08-23,F,V,Conti,Laura,3955900778,,laura.conti76@example.it,32709
9800162,RZZNCL47H15B848R,,23554,Borgo Pascoli 111,,0,0,23554,1947-06-15,M,V,Rizzo,Nicolo,3349783068,,nicolo.rizzo44@example.it,23554
9800163,CNTSMN48P16E761L,,23555,Strada Europa 30,,0,0,23555,1948-09-16,M,C,Conti,Simone,3809379814,,simone.conti80@example.it,23555
9800164,BRBMRT38T58A093H,,31942,Strada Pascoli 30,,0,0,31942,1938-12-18,F,V,Barbieri,Marta,3881403071,,marta.barbieri32@example.it,31942
9800165,LMBLSN41P20I938I,,32005,Via Europa 57,,1,0,32005,1941-09-20,M,C,Lombardi,Alessandro,3406018458,,alessandro.lombardi70@example.it,32005
