ID_INDIRIZZO,ID_OPERAZIONE,ID_SOGGETTO,DATA_INIZIO_VALIDITA,DATA_FINE_VALIDITA,CAP,ID_NAZIONE,COGNOMEPRESSO,NOMEPRESSO,ID_TIPO_INDIRIZZO,SEDIME,NOMEVIA,RADICE,ESTENSIONECIVICO,LOCALITA,FRAZIONE,ID_LUOGO,ID_FONTE_PROVENIENZA,ID_FONTE_RIFERIMENTO,ID_STATO_INDIRIZZO,DATA_CANCELLAZIONE
200072,910000000000072,100072,2021-02-06,,35716,100,Fontana,Giovanni,1,Piazza,Mazzini,3641,B,MONTAGNANA,,40518,1,1,1,
200073,910000000000073,100073,2021-10-28,,45522,100,Gallo,Stefano,2,Piazza,Dante,4250,,LOREO,,40580,2,2,1,
200074,910000000000074,100074,2018-04-28,,35665,100,Rossi,Chiara,3,Borgo,Mazzini,3566,INT,BARBONA,,47621,3,3,1,
200075,910000000000075,100075,2023-11-23,,45938,100,Conti,Andrea,4,Strada,Garibaldi,1895,A,PORTO VIRO,,42757,1,4,1,
200076,910000000000076,100076,2019-05-11,,45308,100,Rossi,Martina,1,Borgo,Pascoli,3400,B,FICAROLO,,42821,2,1,1,
200077,910000000000077,100077,2017-10-28,,36639,100,Costa,Alessandro,2,Strada,Cavour,915,A,MAROSTICA,,42951,3,2,1,
200078,910000000000078,100078,2022-05-25,,36043,100,Romano,Nicolo,3,Via,Verdi,7991,INT,LASTEBASSE,,42184,1,3,1,
200079,910000000000079,100079,2021-09-12,,35289,100,Esposito,Laura,4,Viale,Kennedy,388,INT,DUE CARRARE,,42185,2,4,1,
200080,910000000000080,100080,2017-02-24,,30279,100,Bruno,Davide,1,Strada,Pascoli,3611,INT,MUSILE DI PIAVE,,42373,3,1,1,
200081,910000000000081,100081,2017-04-16,,45734,100,Gallo,Giulia,2,Corso,Garibaldi,1231,INT,VILLADOSE,,42439,1,2,1,
200082,910000000000082,100082,2023-07-22,,45208,100,Marino,Luca,3,Borgo,Manzoni,7934,B,CORBOLA,,42503,2,3,1,
200083,910000000000083,100083,2020-06-15,,36492,100,Greco,Matteo,4,Viale,Dante,8462,A,ROANA,,42567,3,4,1,
200084,910000000000084,100084,2020-05-13,,45146,100,Rizzo,Anna,1,Corso,Mazzini,8445,,CANDA,,41735,1,1,1,
200085,910000000000085,100085,2018-08-09,,36218,100,Costa,Marco,2,Viale,Europa,2394,A,GRISIGNANO DI ZOCCO,,41864,2,2,1,
200086,910000000000086,100086,2021-07-21,,36272,100,Lombardi,Francesca,3,Viale,Kennedy,3658,INT,BRENDOLA,,41928,3,3,1,
200087,910000000000087,100087,2021-06-24,,30632,100,Costa,Davide,4,Strada,Dante,2622,,FIESSO D'ARTICO,,41286,1,4,1,
200088,910000000000088,100088,2018-11-25,,45649,100,Marino,Stefano,1,Piazza,Dante,5601,INT,POLESELLA,,41348,2,1,1,
200089,910000000000089,100089,2022-08-09,,37049,100,Fontana,Martina,2,Strada,Roma,2151,,SAN MARTINO BUON ALBERGO,,41413,3,2,1,
200090,910000000000090,100090,2023-04-28,,45449,100,Ferrari,Alessandro,3,Strada,Dante,4919,INT,BERGANTINO,,41414,1,3,1,
200091,910000000000091,100091,2020-09-05,,31459,100,Moretti,Francesca,4,Via,Europa,7582,A,SANTA LUCIA DI PIAVE,,41480,2,4,1,
200092,910000000000092,100092,2023-07-29,,37107,100,Rossi,Stefano,1,Strada,Garibaldi,3848,B,MEZZANE DI SOTTO,,38923,3,1,1,
200093,910000000000093,100093,2022-11-28,,31570,100,Rossi,Matteo,2,Via,Mazzini,8853,,SILEA,,38924,1,2,1,
200094,910000000000094,100094,2021-12-11,,37664,100,Ferrari,Marta,3,Via,Marconi,4080,A,BUTTAPIETRA,,38980,2,3,1,
200095,910000000000095,100095,2019-11-30,,31002,100,Conti,Nicolo,4,Piazza,Carducci,5773,B,MOTTA DI LIVENZA,,38981,3,4,1,
200096,910000000000096,100096,2019-04-11,,31273,100,Marino,Marta,1,Piazza,Kennedy,6503,A,CISON DI VALMARINO,,39045,1,1,1,
200097,910000000000097,100097,2022-05-14,,37664,100,Conti,Giovanni,2,Viale,Cavour,3011,INT,MOZZECANE,,39239,2,2,1,
200098,910000000000098,100098,2022-05-30,,37244,100,Rossi,Paolo,3,Via,Carducci,1226,INT,ISOLA DELLA SCALA,,38152,3,3,1,
200099,910000000000099,100099,2019-09-05,,32453,100,Romano,Elena,4,Corso,Carducci,9573,A,PERAROLO DI CADORE,,38216,1,4,1,
200100,910000000000100,100100,2020-06-22,,31665,100,Conti,Gabriele,1,Piazza,Mazzini,1690,INT,MIANE,,38217,2,1,1,
200101,910000000000101,100101,2018-03-18,,31133,100,Rossi,Sofia,2,Corso,Manzoni,9486,B,CASTELCUCCO,,38275,3,2,1,
200102,910000000000102,100102,2022-03-04,,35349,100,Esposito,Alessandro,3,Corso,Verdi,7182,,CONSELVE,,38342,1,3,1,
200103,910000000000103,100103,2020-01-03,,35359,100,Lombardi,Alessandro,4,Viale,Mazzini,6841,INT,ALBIGNASEGO,,38407,2,4,1,
200104,910000000000104,100104,2022-11-07,,37030,100,Costa,Sofia,1,Viale,Roma,306,INT,BADIA CALAVENA,,37894,3,1,1,
200105,910000000000105,100105,2023-10-02,,31100,100,Moretti,Nicolo,2,Piazza,Garibaldi,4773,A,CAPPELLA MAGGIORE,,37957,1,2,1,
200106,910000000000106,100106,2021-01-06,,32065,100,Greco,Anna,3,Viale,Pascoli,4101,A,LIVINALLONGO DEL COL DI LANA,,37446,2,3,1,
200107,910000000000107,100107,2022-06-02,,32591,100,Barbieri,Luca,4,Via,Dante,560,B,SOVERZENE,,37061,3,4,1,
200108,910000000000108,100108,2018-10-30,,32160,100,Conti,Luca,1,Via,Europa,4423,,LAMON,,37128,1,1,1,
200109,910000000000109,100109,2018-09-09,,36643,100,Fontana,Giulia,2,Corso,Pascoli,9207,A,VELO D'ASTICO,,36807,2,2,1,
200110,910000000000110,100110,2022-01-16,,36517,100,Esposito,Davide,3,Strada,Cavour,9067,INT,PEDEMONTE,,36230,3,3,1,
200111,910000000000111,100111,2020-08-21,,32673,100,Costa,Marta,4,Borgo,Marconi,3653,,SANTO STEFANO DI CADORE,,36292,1,4,1,
200112,910000000000112,100112,2021-02-27,,36250,100,Esposito,Nicolo,1,Corso,Cavour,7826,A,CHIUPPANO,,43334,2,1,1,
200113,910000000000113,100113,2018-06-01,,36837,100,Bruno,Stefano,2,Via,Verdi,2259,B,TEZZE SUL BRENTA,,35717,3,2,1,
200114,910000000000114,100114,2018-12-11,,32543,100,Romano,Valentina,3,Via,Dante,7222,INT,SAN NICOLO' DI COMELICO,,35975,1,3,1,
200115,910000000000115,100115,2017-10-16,,32295,100,Conti,Nicolo,4,Borgo,Roma,7279,A,COMELICO SUPERIORE,,36037,2,4,1,
200116,910000000000116,100116,2018-02-01,,35485,100,Ferrari,Sara,1,Piazza,Marconi,5592,A,SAN GIORGIO IN BOSCO,,35465,3,1,1,
200117,910000000000117,100117,2017-02-27,,32026,100,Conti,Simone,2,Borgo,Marconi,7609,,ARSIE',,34949,1,2,1,
200118,910000000000118,100118,2021-01-27,,30556,100,Ferrari,Luca,3,Borgo,Garibaldi,3345,B,CINTO CAOMAGGIORE,,57992,2,3,1,
200119,910000000000119,100119,2020-12-16,,35899,100,Marino,Laura,4,Strada,Roma,8830,A,TRIBANO,,58246,3,4,1,
200120,910000000000120,100120,2017-03-11,,30301,100,Greco,Davide,1,Via,Marconi,8570,A,ERACLEA,,58310,1,1,1,
200121,910000000000121,100121,2020-05-31,,45139,100,Fontana,Sara,2,Piazza,Roma,3555,INT,PINCARA,,58371,2,2,1,
200122,910000000000122,100122,2019-06-21,,35216,100,Fontana,Giovanni,3,Via,Marconi,6654,INT,VO',,59209,3,3,1,
200123,910000000000123,100123,2017-01-22,,35114,100,Lombardi,Stefano,4,Strada,Dante,5052,B,POLVERARA,,58629,1,4,1,
200124,910000000000124,100124,2022-05-11,,36711,100,Greco,Sofia,1,Borgo,Garibaldi,2848,,MONTEGALDELLA,,35144,2,1,1,
200125,910000000000125,100125,2023-07-25,,35169,100,Costa,Alessandro,2,Strada,Cavour,2557,INT,LIMENA,,39430,3,2,1,
200126,910000000000126,100126,2023-04-18,,35439,100,Bianchi,Federica,3,Borgo,Cavour,7934,A,BOVOLENTA,,39493,1,3,1,
200127,910000000000127,100127,2020-09-18,,37593,100,Esposito,Andrea,4,Via,Kennedy,2518,INT,TORRI DEL BENACO,,39625,2,4,1,
200128,910000000000128,100128,2023-03-18,,35533,100,Fontana,Simone,1,Borgo,Verdi,147,,CINTO EUGANEO,,29447,3,1,1,
200129,910000000000129,100129,2018-07-11,,37553,100,Esposito,Federica,2,Strada,Dante,4020,A,ALBAREDO D'ADIGE,,28999,1,2,1,
200130,910000000000130,100130,2024-03-22,,31937,100,Lombardi,Paolo,3,Strada,Europa,8857,INT,BORSO DEL GRAPPA,,29060,2,3,1,
200131,910000000000131,100131,2023-07-15,,30365,100,Bruno,Chiara,4,Via,Dante,1805,A,PORTOGRUARO,,34244,3,4,1,
200132,910000000000132,100132,2021-04-28,,36283,100,Bianchi,Alessandro,1,Strada,Garibaldi,2028,A,ROTZO,,34437,1,1,1,
200133,910000000000133,100133,2019-09-17,,36069,100,Fontana,Giovanni,2,Via,Cavour,7529,A,POZZOLEONE,,33672,2,2,1,
200134,910000000000134,100134,2024-12-11,,36576,100,Gallo,Sofia,3,Piazza,Dante,6888,B,CALTRANO,,33800,3,3,1,
200135,910000000000135,100135,2019-02-09,,30856,100,Conti,Simone,4,Corso,Garibaldi,3960,B,GRUARO,,33159,1,4,1,
200136,910000000000136,100136,2023-04-08,,37055,100,Moretti,Marta,1,Strada,Mazzini,7328,,SANT'AMBROGIO DI VALPOLICELLA,,33288,2,1,1,
200137,910000000000137,100137,2022-08-24,,35229,100,Barbieri,Nicolo,2,Strada,Garibaldi,3038,INT,VILLAFRANCA PADOVANA,,33289,3,2,1,
200138,910000000000138,100138,2024-05-13,,31772,100,Rossi,Matteo,3,Piazza,Mazzini,8607,A,SEGUSINO,,33349,1,3,1,
200139,910000000000139,100139,2017-10-09,,30175,100,Costa,Sofia,4,Viale,Verdi,4210,A,MEOLO,,33476,2,4,1,
200140,910000000000140,100140,2024-08-21,,45410,100,Esposito,Paolo,1,Strada,Pascoli,3726,INT,STIENTA,,33542,3,1,1,
200141,910000000000141,100141,2022-09-24,,36457,100,Greco,Laura,2,Borgo,Carducci,6623,INT,ALTISSIMO,,23815,1,2,1,
200142,910000000000142,100142,2024-08-12,,35323,100,Conti,Paolo,3,Piazza,Europa,1190,A,PERNUMIA,,23816,2,3,1,
200143,910000000000143,100143,2018-11-15,,36069,100,Esposito,Stefano,4,Strada,Kennedy,9656,INT,GAMBELLARA,,32969,3,4,1,
200144,910000000000144,100144,2019-10-06,,36199,100,Gallo,Chiara,1,Via,Marconi,4939,B,BASSANO DEL GRAPPA,,33032,1,1,1,
200145,910000000000145,100145,2021-02-26,,35093,100,Esposito,Gabriele,2,Piazza,Mazzini,3568,INT,VIGODARZERE,,33093,2,2,1,
200146,910000000000146,100146,2020-07-29,,31990,100,Moretti,Sara,3,Viale,Marconi,343,INT,MANSUE',,32326,3,3,1,
200147,910000000000147,100147,2020-09-08,,30317,100,Lombardi,Paolo,4,Strada,Europa,6783,A,VENEZIA,,32327,1,4,1,
200148,910000000000148,100148,2022-10-24,,35047,100,Barbieri,Stefano,1,Corso,Kennedy,2975,A,TORREGLIA,,32328,2,1,1,
200149,910000000000149,100149,2021-10-13,,30222,100,Fontana,Sara,2,Viale,Manzoni,8906,A,CONCORDIA SAGITTARIA,,32390,3,2,1,
200150,910000000000150,100150,2017-11-23,,36841,100,Bianchi,Alessandro,3,Viale,Garibaldi,9942,,FARA VICENTINO,,24074,1,3,1,
200151,910000000000151,100151,2024-10-09,,35240,100,Fontana,Francesca,4,Via,Marconi,1603,,CASTELBALDO,,32450,2,4,1,
200152,910000000000152,100152,2018-05-29,,45721,100,Bianchi,Alessandro,1,Strada,Europa,2240,,PAPOZZE,,32451,3,1,1,
200153,910000000000153,100153,2023-11-02,,37449,100,Barbieri,Gabriele,2,Piazza,Cavour,7564,INT,ERBE',,23369,1,2,1,
200154,910000000000154,100154,2023-07-01,,31919,100,Bruno,Giulia,3,Via,Marconi,5411,INT,REFRONTOLO,,23370,2,3,1,
200155,910000000000155,100155,2018-05-28,,37577,100,Conti,Nicolo,4,Via,Kennedy,3417,B,SAN GIOVANNI ILARIONE,,32518,3,4,1,
200156,910000000000156,100156,2018-01-21,,45718,100,Bianchi,Laura,1,Corso,Verdi,9029,A,ARQUA' POLESINE,,32519,1,1,1,
200157,910000000000157,100157,2024-09-13,,31508,100,Fontana,Matteo,2,Strada,Pascoli,250,INT,GORGO AL MONTICANO,,23429,2,2,1,
200158,910000000000158,100158,2020-08-04,,31355,100,Barbieri,Andrea,3,Piazza,Garibaldi,5653,B,SAN FIOR,,32584,3,3,1,
200159,910000000000159,100159,2018-12-27,,35773,100,Gallo,Martina,4,Borgo,Dante,6386,,MONTEGROTTO TERME,,23495,1,4,1,
200160,910000000000160,100160,2018-08-10,,36563,100,Fontana,Simone,1,Piazza,Europa,8618,A,ARZIGNANO,,32708,2,1,1,
200161,910000000000161,100161,2022-08-04,,35286,100,Conti,Laura,2,Via,Europa,4663,,PIOMBINO DESE,,32709,3,2,1,
200162,910000000000162,100162,2022-05-14,,35943,100,Rizzo,Nicolo,3,Borgo,Carducci,2922,,CARTURA,,23554,1,3,1,
200163,910000000000163,100163,2023-07-22,,45612,100,Conti,Simone,4,Piazza,Europa,966,,LUSIA,,23555,2,4,1,
200164,910000000000164,100164,2024-06-05,,36041,100,Barbieri,Marta,1,Viale,Roma,7277,INT,AGUGLIARO,,31942,3,1,1,
200165,910000000000165,100165,2019-04-20,,35866,100,Lombardi,Alessandro,2,Via,Cavour,8509,A,STANGHELLA,,32005,1,2,1,
200166,910000000000166,100166,2017-03-06,,36870,100,Conti,Laura,3,Strada,Roma,9340,A,ZANE',,28676,2,3,1,
200167,910000000000167,100167,2022-05-07,,35556,100,Lombardi,Paolo,4,Borgo,Pascoli,8833,INT,GRANTORTO,,30537,3,4,1,
200168,910000000000168,100168,2024-11-04,,35689,100,Esposito,Simone,1,Via,Pascoli,7260,,BATTAGLIA TERME,,30597,1,1,1,
200169,910000000000169,100169,2024-01-05,,37826,100,Rossi,Chiara,2,Via,Marconi,4235,A,LEGNAGO,,30025,2,2,1,
200170,910000000000170,100170,2017-05-04,,37201,100,Rizzo,Paolo,3,Borgo,Pascoli,6446,B,BRENTINO BELLUNO,,30086,3,3,1,
200171,910000000000171,100171,2017-08-19,,31736,100,Barbieri,Marta,4,Piazza,Verdi,9821,,MONTEBELLUNA,,30087,1,4,1,
200172,910000000000172,100172,2019-03-09,,31989,100,Moretti,Alessandro,1,Borgo,Carducci,6418,A,CESSALTO,,30147,2,1,1,
200173,910000000000173,100173,2020-09-30,,35864,100,Rizzo,Andrea,2,Borgo,Pascoli,4213,B,FONTANIVA,,30216,3,2,1,
200174,910000000000174,100174,2018-07-07,,35306,100,Rossi,Laura,3,Via,Carducci,5300,B,ARZERGRANDE,,30281,1,3,1,
200175,910000000000175,100175,2021-09-11,,35655,100,Bruno,Nicolo,4,Piazza,Pascoli,813,A,MASI,,31304,2,4,1,
200176,910000000000176,100176,2018-03-04,,35004,100,Gallo,Federica,1,Piazza,Mazzini,4221,B,CAMPODORO,,31365,3,1,1,
200177,910000000000177,100177,2023-10-27,,31974,100,Ferrari,Davide,2,Via,Europa,5435,B,POSSAGNO,,31498,1,2,1,
200178,910000000000178,100178,2020-08-24,,37273,100,Conti,Marco,3,Viale,Europa,4982,B,SONA,,30730,2,3,1,
200179,910000000000179,100179,2021-02-12,,31593,100,Marino,Francesca,4,Corso,Garibaldi,7652,,TREVIGNANO,,30794,3,4,1,
200180,910000000000180,100180,2019-11-07,,31527,100,Bruno,Stefano,1,Via,Manzoni,8497,,NERVESA DELLA BATTAGLIA,,30407,1,1,1,
200181,910000000000181,100181,2024-07-13,,37894,100,Conti,Francesca,2,Borgo,Europa,363,INT,BONAVIGO,,29766,2,2,1,
200182,910000000000182,100182,2017-07-18,,37028,100,Esposito,Matteo,3,Strada,Carducci,126,B,SALIZZOLE,,58122,3,3,1,
200183,910000000000183,100183,2023-03-28,,37266,100,Lombardi,Luca,4,Piazza,Europa,4360,A,GAZZO VERONESE,,58183,1,4,1,
200184,910000000000184,100184,2020-05-20,,37988,100,Greco,Chiara,1,Strada,Carducci,4062,A,SANGUINETTO,,58437,2,1,1,
200185,910000000000185,100185,2021-05-10,,45455,100,Ferrari,Stefano,2,Viale,Carducci,4139,INT,CENESELLI,,33607,3,2,1,
200186,910000000000186,100186,2021-04-21,,32225,100,Conti,Chiara,3,Strada,Marconi,713,,VIGO DI CADORE,,29255,1,3,1,
